calibration_record_id,corpus_id,decision,reason_code,organism_evidence,stressor_evidence,response_evidence,transferability_basis,screening_source,confidence,needs_full_text,rationale,attempts,request_sha256,response_sha256
PEV-011,CWC-3BA5EE36CD77,CORE_INCLUDE,,"Glass sponge Aphrocallistes vastus at Fraser Ridge sponge reef, Strait of Georgia, BC, Canada.",Suspended sediment concentrations (SSCs) raised to 10-80 mg/l during experimental disturbances.,"Feeding current arrests (single and coughing) with reduced excurrent velocity, correlated with elevated SSCs.",,TITLE_ABSTRACT,HIGH,False,"Explicit cold-water glass sponge, suspended sediment exposure, and feeding arrest response; direct in situ evidence.",1,40e7b2e5b5d13195f5f7154027a78c0f87db85df790cbe05c61d6d66810a816a,d764613f037e7bf3e88abaed4f7b5d383089e03cfd753938fabbb1c4c0f7dea5
PEV-012,CWC-6CB118B28AB2,EXCLUDE,X05_RESPONSE_OUT_OF_SCOPE,"Corals (unspecified, likely tropical due to Florida Keys)","Turbidity mentioned as environmental condition constraining imaging, not as stressor","Coral bleaching assessment, but no sediment-related response",,TITLE_ABSTRACT,HIGH,False,"Study compares survey methods for coral bleaching; turbidity is only a methodological constraint, not an explicit sediment stressor. No sediment exposure or response evaluated.",1,79c3c8ffdb35458bc007fa6e2d6665ef8e33beb67575b9bfc0ef0761dc9017b7,aeef8a66938a82fc7afcf3731c81498abc6967213963095f3f6ea2b48f580416
PEV-013,CWC-8A7D3E851AE3,CORE_INCLUDE,,Deep-sea coral Lophelia pertusa from Gulf of Mexico,Suspended sediment and complete burial,Mortality increases with longer burial or higher sediment loads,,TITLE_ABSTRACT,HIGH,False,"Explicit deep-sea coral, sediment stressor, and mortality response; core evidence.",1,7ff8226db3481ea9d7782c4919df2edccd3717f9be2372fe38a87e7c894bbf53,d94f27347290765f3fb901968adee4e37e710acb3acc3aaf3327592e00ad97dd
PEV-014,CWC-11C8578A23E4,TRANSFERABLE_MECHANISM,,Coral reefs (unspecified coral species),"Dredging-associated sediment plumes, sedimentation, turbidity",Increased coral disease prevalence (white syndromes) and compromised health,"Explicit sediment exposure (dredging plumes) and biological impact (disease) on corals, providing a broadly applicable exposure-response pattern relevant to cold-water coral vulnerability.",TITLE_ABSTRACT,MEDIUM,False,"Tropical coral study with explicit dredging sediment exposure and disease response; transferable mechanism due to generalizable impact pattern, though not cold-water.",1,1e13db477ff494f5b6acff933fd4efa1cbb876c97b831dfa37c38008018986df,c0a3ba7f32ec8a7442f4a3f4987b9a941018504388c6feecc3d12ca05a56d8a9
PEV-015,CWC-8F401C5284CD,EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,Mollusc death assemblages; no coral or sponge focus,Sediment depth and sieve size as methodological factors,Assemblage attributes of molluscs,,TITLE_ONLY,HIGH,False,"Title indicates study of mollusc death assemblages, not corals or sponges. No sediment-related stressor or coral/sponge response is present. Excluded as organism out of scope.",1,6391384801ae982710bab3b2d6f08c55497471cb0d9ab65c81e27cdcbd57677e,5b97775685091ad555c77d02a33253ba33d7a16dab50072cbc9272d2cb796a9c
PEV-016,CWC-9D88361B731D,CORE_INCLUDE,,Deep-water sponge Geodia barretti,"Suspended bottom sediment, simulated mine tailings, drill cuttings","Oxygen consumption, energy content, recovery",,TITLE_ABSTRACT,HIGH,False,"Explicit deep-water sponge, sediment-related stressors (suspended sediment, mine tailings, drill cuttings), and physiological responses (oxygen consumption, energy content) with recovery. Core eligible.",1,f80206f620e2af86a41c04724b9d1090d30a44acfba862ca3edd93aa8d0847c2,b0ba40bdf86d130ecf745d6eca261d0393ef345c3ec42952d0c3aac796a1257f
PEV-017,CWC-9434EFF6C889,TRANSFERABLE_MECHANISM,,"Seven coral species including Dichocoenia stokesii, Montastrea annularis, Agaricia agaricites, Acropora cervicornis, Porites furcata, P. astreodes, P. divercata.","Drilling mud from an offshore oil well in the Gulf of Mexico, diluted to concentrations of 100, 316, and 1000 µL/L.",Polyp retraction measured as percent of polyps retracted; survival observed.,"Explicit sediment-related exposure (drilling mud) and behavioral response (polyp retraction) in corals, providing a broadly applicable pattern of sediment impact on coral behavior.",TITLE_ABSTRACT,MEDIUM,False,"Tropical corals exposed to drilling mud show polyp retraction and survival responses, providing transferable evidence of sediment-related behavioral impacts. Not core due to tropical setting.",1,728c27127a845bd501b0f93bb99ec214bb12dc03d78ac123fa212e00f1a3078e,99876601b8c9bb83660fde75cf7ed4a59ff41139344b6ec42fd941ef66cb584e
PEV-018,CWC-5F5353A4D6EA,EXCLUDE,X03_STRESSOR_OUT_OF_SCOPE,"Sponges (Iotroata acanthostylifera, Janulum spinispiculum) from NW Atlantic.",No sediment-related stressor mentioned; sampling by rock dredge but no explicit sediment pathway.,No biological response to sediment; only new distribution records.,,LANDING_PAGE,HIGH,False,Record reports new sponge records from dredge samples; no sediment exposure or response. Excluded as stressor out of scope.,1,c0bf8a6776a36032466610d95ee4e5782b5f2eebeafcc022570183c5c7202724,7d0190cae0b759fb60eb8b0f8f610f7d880dcb161d060f2f00629bdcd2ca9c90
PEV-019,CWC-2CE5EB8EAB8A,TRANSFERABLE_MECHANISM,,"Reef-building coral Montastrea annularis (Caribbean/Atlantic, tropical)","Drilling mud exposure at 0, 1, 10, 100 ppm in laboratory",Skeletal extension rate and corallite shape (fossa length) depressed; possible interference with sediment rejection,"Explicit sediment-related exposure (drilling mud) and physical/morphological response (growth depression, corallite shape) relevant to coral vulnerability mechanisms",TITLE_ABSTRACT,MEDIUM,False,Tropical coral study with explicit drilling mud exposure and growth/morphology responses; transferable mechanism for sediment effects on corals.,1,200323daeb4569dde19538a6e603de0cc35cd8d9468c1c6b536556d3e0891919,d273d6a3cfac7b9a82d29259a394a33561fc9fbdce2e0ead7b74fb1e50f6bbb8
PEV-020,CWC-C250678D6149,EXCLUDE,X02_TROPICAL_NO_TRANSFER,"Fossil corals and rudists in an Albian patch reef, Arizona, USA.","Sedimentation rate, source, and type; external sediment influx.",Coral dominance under greater water depth and lesser sediment influx; rudist dominance under high sediment influx.,,TITLE_ABSTRACT,HIGH,False,"Fossil reef study from Arizona (likely warm-water Cretaceous) with no explicit cold-water/deep-water/temperate context. Sediment-related patterns are paleoecological associations, not transferable mechanisms. Excluded as tropical/no transfer.",1,8d6085ff55d15a7e6f1ac3e2aeb6ddea3705324d19abf60a875c2a6ad2cd5108,7dd1aa27cd438b16ea4e5360c001798411b8081a8bcda3f2b6fd3a5e33006373
PEV-021,CWC-65546B3B817C,EXCLUDE,X03_STRESSOR_OUT_OF_SCOPE,Coral reefs mentioned as sensitive bottom habitats,"Ghost nets build up sediment and smother habitats, but sediment is not the primary stressor",No specific coral or sponge response to sediment reported,,TITLE_ABSTRACT,HIGH,False,"The study focuses on ghost net retrieval and distribution, not on sediment-related effects on corals or sponges. Sediment is mentioned incidentally as a consequence of ghost nets, but no explicit sediment exposure or coral/sponge response is evaluated.",1,6ded6bac4d7be1ea77eaf57bcfe141322bc91cba5e6c28958e9e58efc58ff491,64619ed9e5f5a006032c7f88d4a8bb7d64ce137f0618cf821a44ef1fd618cb33
PEV-022,CWC-D81C3AA50091,EXCLUDE,X02_TROPICAL_NO_TRANSFER,Coral reef ecosystem,Sedimentology,None specified,,TITLE_ONLY,MEDIUM,False,"Title indicates tropical coral reef sedimentology; no explicit sediment stressor or response, and no transferable mechanism.",1,6075662544eeca844c131388a1da524a9b4eb529c369752daa0020587a9e922a,7599a18b6e68994932ef643ded0d7d1b6ec23a3f174b64b357bf91cdf36644e8
PEV-023,CWC-620A6B01FCC6,TRANSFERABLE_MECHANISM,,Tubular sponge Haliclona urceolus,Sediment settlement (explicit sediment-related exposure),Morphology-induced sediment settlement prevention (physical mechanism),Physical mechanism of sediment settlement prevention on sponge morphology may apply to cold-water sponges facing sediment stress.,TITLE_ONLY,MEDIUM,True,"Title indicates sponge and sediment settlement prevention, but lacks details on response and setting. Transferable mechanism plausible, but full text needed to confirm explicit response and applicability.",1,386617df98584868d85115bdd210a64fdca443194308f9c636ab1ddf7a670d5d,4381dfa29e6dbfa17c5e0926cbb72572efae44b8cab0bf32908909198afc9478
PEV-024,CWC-A6EF6A20E7D6,EXCLUDE,X02_TROPICAL_NO_TRANSFER,"Coral reef carbonate budgets; likely tropical corals (authors from University of Queensland, study on coral reefs).","Sediment coral reef carbonate budgets; mentions sediment in context of reef framework, not explicit sediment stressor.",Net framework and carbonate budgets; not an eligible response to sediment stress.,,TITLE_ABSTRACT,MEDIUM,False,Tropical coral reef study on carbonate budgets; no explicit sediment stressor or eligible response; no transferable mechanism.,1,e0dd7a5457ab3b8c0ae30113d4429d81bee6c196d083cebda944a5da176aab80,4e90d8666427215ab5c1383f20b58e0dec12f324f55d90549174849c83b9f595
PEV-025,CWC-F2591A201364,CORE_INCLUDE,,Deep-water sponge Geodia barretti,Water-based drilling muds,Sub-lethal effects,,TITLE_ONLY,MEDIUM,False,Title explicitly indicates deep-water sponge (core organism) exposed to drilling muds (sediment-related stressor) with sub-lethal effects (eligible response).,1,3083844ac290076246c2e0ffd973b95421a89ee36b87569f8e52e188af1054a1,98fa21747d4142539270d3d1e1618f98a53ebe3393701dfa50b1f82fb8bdae38
PEV-026,CWC-6504F386F1B3,EXCLUDE,X03_STRESSOR_OUT_OF_SCOPE,Deep-water coral community in the Gulf of Mexico,"Oil spill, oil plume, floc containing oil; no explicit sediment-related exposure","Tissue loss, sclerite enlargement, mucous production, bleaching of commensal ophiuroids, coral mortality",,TITLE_ABSTRACT,HIGH,False,"The study focuses on oil spill impacts, not sediment-related stressors. No explicit sediment deposition, turbidity, or burial pathway is mentioned. Therefore, it is out of scope.",1,f810c55afd6a12290682925fcb59074dc8e6f07cc0a54a28b0c7260991c51b07,df23a019fb46bf5002885d68690c1af5551eb3c746c6ac382b2b6a4779f97845
PEV-027,CWC-A892DB47932A,CORE_INCLUDE,,"Glass sponges (Rhabdocalyptus dawsoni, Heterochone calyx, Farrea occa) at 170 m depth in Canada","Suspended sediment concentrations (SSCs) from natural and experimentally induced increases, including trawling plumes","Pumping rates, excurrent flow reduction, and arrests in response to SSC thresholds",,TITLE_ABSTRACT,HIGH,False,"Explicit cold-water glass sponge species, suspended sediment exposure, and pumping response with thresholds; core evidence.",1,9202c15681a5cde430b359a3bb05198f5c6bc03717d4475b49c8a7dd6fe3986d,0f2fd2a3550e426452dacf44a83a2d3046796e25a3bf39cbf16adcdafbd6636d
PEV-028,CWC-D47B9A6D53DA,CORE_INCLUDE,,Glass sponges (Hexactinellida): Rhabdocalyptus dawsoni and Aphrocallistes vastus,"Sediment exposure, including fine sediment (<25 μm) and large amounts, in laboratory experiments","Arrest of pumping/feeding current, prolonged arrests, reduced pumping, recovery, clogged filtration apparatus",,TITLE_ABSTRACT,HIGH,False,"Explicit glass sponge (core-context organism) response to sediment: pumping arrest, threshold differences, and recovery. Directly evaluates sediment effects on physiology, meeting core criteria.",1,7e61194e5cb8cd96075d7422ae8df05413a42b9585d01ce87abceab4e5823f7c,dba098ceaa846844f08eb2bb59a1179eeea09a8314be501382213df8f2aa9278
PEV-029,CWC-EDD1DC139DFA,TRANSFERABLE_MECHANISM,,Massive Porites spp. corals (reef-building hard corals),Seawater turbidity (suspended sediment proxy) and thermal stress,Coral growth (linear extension) negatively related to turbidity; reduced growth under thermal stress,"Explicit sediment-related exposure (turbidity) and coral growth response, providing a broadly applicable exposure-response pattern relevant to coral vulnerability.",TITLE_ABSTRACT,MEDIUM,False,"Tropical coral study with explicit turbidity-growth relationship; transferable mechanism for sediment effects on coral growth, though not cold-water context.",1,0437f7a03fec3102254f95ed7dadafef0038e08d9d48bc9394e4150ae62cbe0d,6a770403120664922c2f5adb8c038178b22d285545f2def7c03f41e0c39f1bf2
PEV-030,CWC-9BFC61A48726,CORE_INCLUDE,,"Cold-water coral reefs, key species Lophelia pertusa","Drill cutting discharge, waste materials from offshore drilling","Susceptibility, exposure minimization, research on key species",,TITLE_ABSTRACT,MEDIUM,False,"Explicit cold-water coral (Lophelia pertusa) and drilling discharge exposure; discusses monitoring strategies and research on susceptibility, meeting core criteria.",1,0ee7aa25c2c484c62c43f95be45963fbec8340c7db4ed224beec23a4f77a44f7,c10343fe67922d976049ce0cc216f3a35fac3451460547c3f5d751abd19a887b
PEV-031,CWC-EDB1480675F9,CORE_INCLUDE,,Cold-water coral Lophelia pertusa (Desmophyllum pertusum) larvae,"Suspended bentonite, barite, and drill cuttings from fossil fuel drilling","Larval behavioral effects (EC50), lethal effects (LC50), and post-exposure recovery",,TITLE_ABSTRACT,HIGH,False,"Explicit cold-water coral larvae exposed to drilling-related suspended particulates; assesses behavioral and lethal effects and recovery, meeting core criteria.",1,11ec0ef5951c95f89494ba958ad3f712acb13c94b0c40ee7efa90877e8b2cb3c,78b43357496947c9f8598abe984d34260edde8d86ed49b609713570dda888471
PEV-032,CWC-1EDA9D88322A,TRANSFERABLE_MECHANISM,,"Sponge Scopalina lophyropoda (demosponge), sublittoral rocky-bottom","Sediment deposition, silt exposure, harbor silt finer and more deleterious",Survival of asexually produced recruits; silt-exposed explants lived shorter; mortality rates,"Explicit sediment exposure and survival response in a sponge, providing a broadly applicable pattern of sediment effects on sponge survival relevant to cold-water sponge vulnerability.",TITLE_ABSTRACT,MEDIUM,False,"Sponge survival under sediment deposition is explicitly assessed. Setting is sublittoral, not clearly cold/deep/temperate, so not core. Transferable mechanism: sediment exposure reduces survival, relevant to sponge vulnerability.",1,734f0eeb33c81760971cf71f64f4027ed165d02850c627c2bcf082b05ce5273c,b4629b88c5eee352c242555bed995a3da480cdea5a507335f16236a3aac9401b
PEV-033,CWC-29A471B9BFF1,UNCERTAIN,U02_AMBIGUOUS_ORGANISM,Scleractinian coral,Sedimentation stress from terrestrial and marine sediments,Not specified in abstract,,TITLE_ONLY,LOW,True,"Title indicates scleractinian coral and sedimentation stress, but lacks abstract to confirm cold-water/deep-sea context or specific response. Setting ambiguous; cannot determine core eligibility.",1,b540cc01ab4151a1bce65ddbf2d688b91f44a68d5637a8d061e7075d3140bdc4,77711cffebcd82a5517b3d0399b7d3a51aa1f5a1a732766845c77e6d3bfc5178
PEV-034,CWC-D962354BD236,CORE_INCLUDE,,Arctic-boreal sponges,"particulate sediment, bentonite, barite (oil-drilling waste)",net fluxes of oxygen and nitrogen,,TITLE_ABSTRACT,HIGH,False,"Title explicitly evaluates Arctic-boreal sponges exposed to oil-drilling particulate sediment, measuring oxygen and nitrogen fluxes, an eligible physiological response. Core context and stressor-response link are explicit.",1,429679be6c599b61bf2b63c5c1e7e521587d17c72b763bf2fda1ffa369d83b22,08b20766f6ac82b2e967d5b9e3874ad52e866d493f939ff7296bf7709d22ec03
PEV-035,CWC-65CF36C85E16,CORE_INCLUDE,,"Cold-water coral Lophelia pertusa, larvae","Drill cuttings, sediment loads, concentrations 0.5-640 ppm","Larval mortality, cilia clogging, reduced swimming",,TITLE_ABSTRACT,HIGH,False,"Explicit cold-water coral (Lophelia pertusa) exposed to drill cuttings; measures larval mortality and cilia clogging, an eligible response. Core include.",1,0d0191006b11a9bf538c8c72ffc53c0653d81d7d6b274430079694bcfe3e3a75,5425bc0fa994b37a0bcbe73901bd146fe14cdec37f1dfcea8314725fa8bb1ff5
PEV-036,CWC-8348819C8DEA,UNCERTAIN,U04_AMBIGUOUS_RESPONSE,Deep-water bamboo corals (likely octocorals) in Arctic environment,Muddy environment implies sediment but no explicit sediment stressor/pathway,No explicit biological response to sediment mentioned,,TITLE_ONLY,LOW,True,"Title indicates deep-water corals in muddy habitat, but no explicit sediment stressor or response. Missing abstract prevents assessment of sediment-related effects.",1,b3f19c46cdbde6407df233676d1dfaa599b7904b4c6fbc0079d3cb63c5eb1c90,58ca9f6b749eb4a78ac8d13de82268fd26305aa77e41672b960890a7db9d2706
