calibration_record_id,corpus_id,decision,reason_code,organism_evidence,stressor_evidence,response_evidence,transferability_basis,citation_chain_basis,screening_source,confidence,needs_full_text,rationale,access,access_type,access_url,attempts,request_sha256,response_sha256
PEV-011,CWC-3BA5EE36CD77,CORE_INCLUDE,,"Glass sponge Aphrocallistes vastus at Fraser Ridge sponge reef, Strait of Georgia, BC (cold-water/deep-sea sponge).","Suspended sediment concentrations (SSCs) increased by experimental disturbances, including levels 10-80 mg/l, compared to natural SSCs.","Feeding current arrests observed in situ: 23 arrests, single arrests lasting ~4.25 min, coughing arrests up to ~31 min; arrest onset correlated with elevated SSCs (r = -0.83 to -0.92).",,,TITLE_ABSTRACT,HIGH,False,"This is a core in-scope record. The organism is a cold-water glass sponge, the stressor is explicitly suspended sediment, and the response is a measured biological effect (feeding current arrests, a form of pumping/filtration impairment). The abstract directly reports in situ experimental evidence linking elevated SSCs to arrest behaviours. This meets all CORE_INCLUDE criteria. No transferability or citation-chain reasoning is needed.",NO,NOT_CONFIRMED,,1,3d6fdea9929e69191a68bdce482c78fd8d30c895752609a59da147bce956390c,9197d1f37fec6f495ccd9896abfff29f4b73e0a5c5593e00e30b1fb27fcf6df9
PEV-012,CWC-6CB118B28AB2,EXCLUDE,X03_STRESSOR_OUT_OF_SCOPE,Warm-water corals in the Florida Keys surveyed during a bleaching event.,"Coral bleaching event; turbidity and sea state are mentioned only as constraints on image-acquisition quality, not as sediment exposure or depositional pathway.","Quantification of bleaching categories (not bleached, pale, partially bleached, bleached); no sediment-related biological or trait response.",,,TITLE_ABSTRACT,HIGH,False,"The record addresses methods for quantifying thermal coral bleaching in the Florida Keys, a warm-water tropical system. No deep-sea or cold-water coral or sponge is involved. The stressor is bleaching, not sediment, and turbidity is referenced only as an environmental constraint on imaging, not as an exposure pathway or biological stressor. There is no observed, measured, or modeled sediment-related response, and the tropical context lacks a close organism-level functional analogue to sediment effects on deep-sea corals or sponges. Thus the source is excluded.",NO,NOT_CONFIRMED,,1,3b20de6363d9fe402d2b6a112c658685ad23db4bbd90108d14ae3080d745de95,134eddf241362fbd3a4a7a15174d99af8a1a8cb00e25f78546745730dc9577cd
PEV-013,CWC-8A7D3E851AE3,CORE_INCLUDE,,"Deep-sea coral Lophelia pertusa, including two morphotypes (brachycephala and gracilis), from the Gulf of Mexico at depths >300 m.","Suspended sediment and complete burial using sediment collected from the study region, reflecting episodic resuspension of fine-grained particulates.",Tolerance to sediment quantified by mortality increasing with longer burial or higher sediment loads.,,,TITLE_ABSTRACT,HIGH,False,"The abstract explicitly reports a deep-sea coral (Lophelia pertusa) exposed to suspended sediment and burial, with measured mortality responses. This matches core eligibility: deep-sea/cold-water organism, explicit sediment-related exposure, and an eligible biological response (mortality/tolerance). The source is a substantive peer-reviewed article. No ambiguity or need for full text; the abstract is sufficient for screening.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://www.int-res.com/articles/meps2009/390/m390p137.pdf,1,22ce38d1f3ca43c5aedeb07228fcbdc5792380a77371f0550db90b5f3096ec73,8dbc54eda8ea34c14a7e458308fe86f96769aefd606c329e1e905087d9e69efd
PEV-014,CWC-11C8578A23E4,EXCLUDE,X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE,Coral reef ecosystems; no indication of deep-sea or cold-water taxa,"Dredging-associated sediment plumes, sedimentation, turbidity",Increased prevalence of white syndromes and other compromised coral health indicators,,,TITLE_ABSTRACT,HIGH,False,"This study examines tropical coral reefs exposed to dredging sediment plumes and reports elevated disease prevalence. The organisms are not deep-sea or cold-water corals, and the response (disease prevalence) is explicitly listed as not sufficiently transferable under the TRANSFERABLE_MECHANISM exception. There is no close organism-level functional analogue such as feeding, polyp retraction, or burial tolerance. Thus, it is excluded as tropical and not closely transferable.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0102498&type=printable,1,a46602d14f0d0e684460b1edaa961a2d30eafa31202f0c522b3c19c6543d9595,7b4defa6096d972a6a70fc143c7a4b5d89c4808aff35c4b6fd32fa0273ea4cbd
PEV-015,CWC-8F401C5284CD,EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,"Study focuses on coral reef-associated mollusc death assemblages, not corals or sponges.","Sediment depth and sieve size are examined, but in the context of taphonomic/assemblage attributes of molluscs.","Multivariate and univariate assemblage attributes of mollusc death assemblages, not biological responses of corals or sponges.",,,TITLE_ONLY,HIGH,False,"The title clearly indicates the study is about mollusc death assemblages in a coral reef environment (Gulf of Aqaba), not deep-sea or cold-water corals/sponges, and no sediment-related coral/sponge trait or biological response is described. The organism is outside scope, and it is not a close functional analogue to a coral/sponge. There is no basis for citation chaining as it is not a substantive deep-sea/cold-water coral or sponge source.",NO,NOT_CONFIRMED,,1,06b96b34a0ac503d1865b1dbc7dffea5110b83fd87e787e532ce6a7c13d2daf9,735f7f0681c82cb14248e66f6295ed447cd62510981066b66618212591d0a16a
PEV-016,CWC-9D88361B731D,CORE_INCLUDE,,"Deep-sea/cold-water demosponge Geodia barretti, a common Northeast Atlantic sponge.","Suspended bottom sediment, simulated mine tailings, drill cuttings; specifically crushed rock particles and natural bottom sediments in laboratory exposures.",Measured oxygen consumption (respiration) and energy content: 4-h pulse at 500 mg/l crushed rock caused 50% drop in oxygen consumption with rapid recovery; 29-day cyclic exposure at 50 mg/l crushed rock caused permanent 60% drop in oxygen consumption with no effect on energy content; natural sediments had no effect.,,,TITLE_ABSTRACT,HIGH,False,"The abstract explicitly describes experimental exposure of the deep-sea sponge Geodia barretti to suspended sediment-related stressors (crushed rock, natural sediment, mine tailings/drill cuttings context) and measures an eligible physiological response (oxygen consumption/respiration) including recovery and long-term effects. This directly satisfies all CORE include criteria: deep-sea/cold-water organism, explicit sediment exposure pathway, and quantitative biological response. The closest alternative would be CITATION_CHAIN_CANDIDATE if no response were reported, but responses are clearly present. Full text is not needed for classification.",NO,NOT_CONFIRMED,,1,75df7eeaaa67aa862af74b33d69ea744bde48b616d5ec2f079da650897251a02,67ad4ca75f3672ff66e1b52d5139bd1fc8f6217046fc3fe63f34ce2911f585ce
PEV-017,CWC-9434EFF6C889,TRANSFERABLE_MECHANISM,T01_CLOSE_TRAIT_ANALOGUE,"Tropical Caribbean reef corals (Dichocoenia stokesii, Montastrea annularis, Agaricia agaricites, Acropora cervicornis, Porites furcata, P. astreodes, P. divercata).","Drilling mud obtained from an offshore Gulf of Mexico oil well, diluted to 100, 316, and 1000 µL/L; experimental exposure for 96 hours.",Measured percent of polyps retracted at each concentration; species-specific differences and mortality in some species at the highest concentration.,Coral polyp retraction is a close organism-level functional analogue to sediment/drilling-mud avoidance and clearance behaviors in deep-sea and cold-water corals. The quantitative exposure–response relationship (polyp retraction) directly parallels traits relevant to deep-sea coral sediment stress.,,TITLE_ABSTRACT,HIGH,False,"The study clearly uses tropical reef corals, so it is not core for a deep-sea/cold-water review. However, it experimentally quantifies coral polyp retraction in response to drilling-mud concentrations, which is explicitly listed as a transferable functional analogue. The stressor is a drilling-mud/particulate pathway, and the response is organism-level behavioral and mortality data. This is not a mere coral-reef damage or distributional association; it is a direct dose-response of a conserved coral trait. Therefore, TRANSFERABLE_MECHANISM is preferred over EXCLUDE or CITATION_CHAIN_CANDIDATE.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://doi.org/10.1306/2f918068-16ce-11d7-8645000102c1865d,1,330e3d03d1851327e61efcf9467994feefc105e6a98d1c9126bc191585e2e080,1361e0310bc3e2b11f96ec240b7cc127c876db9068487a0c9ab4252c3dab85cf
PEV-018,CWC-5F5353A4D6EA,EXCLUDE,X05_RESPONSE_OUT_OF_SCOPE,Deep-sea/cold-water sponges: Janulum spinispiculum and Iotroata acanthostylifera from NW Atlantic.,"No sediment-related exposure or stressor; 'rock dredge' is a sampling method, not a sediment/dredging impact pathway.",No biological response; only taxonomic/distribution records are reported.,,,TITLE_ABSTRACT,HIGH,False,"This record concerns two new sponge distribution records from the NW Atlantic, based on rock-dredge samples. The organisms are deep-sea/cold-water sponges, and the source mentions a VME monitoring programme, but there is no sediment-related exposure pathway and no observed or measured biological response to sediment. Using a rock dredge is merely a sampling technique and does not establish a sediment or dredging-impact focus. The paper is taxonomic/distributional, not a credible citation-chain lead for sediment response evidence. Therefore it is excluded as having no eligible biological response.",NO,NOT_CONFIRMED,,1,b07b70910c4eedc76b6e4c331acf90cd65f42423caa57d93106722fa3ea9be9b,394c7233ec87f84d5256eb8d77ae2f603f3f05acef841f3aa308dae33c679632
PEV-019,CWC-2CE5EB8EAB8A,TRANSFERABLE_MECHANISM,T01_CLOSE_TRAIT_ANALOGUE,Tropical/warm-water Caribbean and Atlantic reef-building coral Montastrea annularis; not a deep-sea or cold-water coral.,"Continuous flow-through exposure to drilling mud at 0, 1, 10, and 100 ppm for over 6 weeks.",Skeletal extension rate and fossa length were significantly depressed at 100 ppm; possible impairment of sediment rejection capability through lowered calical relief.,"Provides a quantitative organism-level sediment dose-response in coral growth and a functional link to sediment rejection, directly analogous to sediment/drilling-mud effects on deep-sea cold-water corals.",,TITLE_ABSTRACT,HIGH,False,"The record reports an empirical study on a warm-water reef-building coral exposed to drilling mud, with measured growth and morphological responses. Because the organism is not deep-sea/cold-water, CORE_INCLUDE is not appropriate. However, the study directly measures a close functional analogue—coral skeletal growth suppression and sediment rejection capability under particulate/drilling-mud exposure—making it eligible as TRANSFERABLE_MECHANISM under rule T01_CLOSE_TRAIT_ANALOGUE. It is not merely a general reef-damage or community study; it is a controlled laboratory dose-response. The abstract supplies sufficient detail to categorize without full text.",NO,NOT_CONFIRMED,,1,8441289a440b1756c6fc49d2e8d9f2348759d5f0e825e5c3a3b2d21324bca7f4,a0830b47b248a4f461cc5ba70c06375949f9b52fc16b876ec5d4bee52fd35f5c
PEV-020,CWC-C250678D6149,EXCLUDE,X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE,"Fossil corals and rudists from an Albian-aged patch reef in Arizona, USA.","Sediment influx and sedimentation rate, source, and type; relative water depth changes.",Reef development stages and coral vs. rudist dominance inferred from paleoecological and stratigraphic data.,No close organism-level functional analogue; paleoecological reef-growth inference rather than measured trait response.,,TITLE_ABSTRACT,HIGH,False,"This is a paleoecological and stratigraphic study of a warm-water Albian coral-rudist patch reef in Arizona. It is not deep-sea or cold-water, and it does not measure a close organism-level functional analogue such as pumping, polyp retraction, or sediment dose-response. The sediment-influx interpretation is at the community/reef scale, not an eligible coral or sponge trait. It is not a substantive deep-sea/cold-water citation-chain lead. Therefore, it is excluded as tropical and not closely transferable.",NO,NOT_CONFIRMED,,1,2ca476a884bd9f526857e7e14d6a5d63710749f9448d188df78dba1335ff9992,29992a45ae87dfed1b9133b376597257293da67f1bd5028e6df91d62790d3fda
PEV-021,CWC-65546B3B817C,EXCLUDE,X03_STRESSOR_OUT_OF_SCOPE,Tropical coral reefs and seagrass beds mentioned as habitats; no specific coral or sponge taxa.,"Ghost nets; sediment build-up mentioned only as an impact of ghost nets, not an explicit sediment exposure pathway.",No observed sediment-related coral/sponge biological response; reports ghost net retrieval counts and spatial patterns.,,,TITLE_ABSTRACT,HIGH,False,"The record concerns ghost net incidence and removal in a tropical Malaysian marine park. It mentions coral reefs and seagrass beds as habitats potentially smothered by ghost nets, and notes sediment build-up as one impact, but the stressor investigated is ghost net debris, not an explicit sediment-related exposure pathway. No deep-sea or cold-water coral/sponge is studied, and no measured biological response to sediment is reported. The study is therefore not core and not a credible citation chain lead for sediment-related response evidence. The closest alternative would be citation chain candidate, but the ghost-net focus is not sufficiently sediment-directed. Hence EXCLUDE with stressor out of scope.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://www.palawanscientist.org/tps/?sdm_process_download=1&download_id=1877,1,d2e612cabd38866f6718d3e29feedbba67a3476671d315d907140d31abebe505,5d0db0f32a40a501fee5cae3e41f47318f5bebce66aea96e9a4aedd4b9b892c2
PEV-022,CWC-D81C3AA50091,UNCERTAIN,U01_MISSING_ABSTRACT,Title indicates coral reef ecosystem in barrier islands off Tamilnadu; no abstract to confirm coral or sponge taxa or depth.,Title mentions sedimentology; no explicit sediment-pathway detail in abstract.,No biological response reported in title; no abstract available.,,,TITLE_ONLY,LOW,True,"Only the title is available. It describes sedimentology of a coral reef ecosystem in Tamilnadu, likely tropical and outside core scope. Without an abstract, I cannot determine whether it reports a close trait analogue (e.g., coral/sediment responses) or is merely geological. Thus the available text is insufficient to distinguish among transferable, citation-chain, or exclude categories. Closest alternative: EXCLUDE due to tropical and non-response, but that would require inferring absence from the title alone. Since there is no abstract and no full text, uncertainty is appropriate.",NO,NOT_CONFIRMED,,1,bead4163793db3f5588be99b447e6af0f8a7b1856d5dd586614ac4286fcfd7ff,f132e7fe6cf68b4ecc87f0f3244a424e3a01c670b728a67a66e765bf3f6abac9
PEV-023,CWC-620A6B01FCC6,UNCERTAIN,U01_MISSING_ABSTRACT,The record concerns the sponge Haliclona urceolus; depth or thermal regime unspecified in title.,Sediment settlement is indicated as a stressor or exposure in the title ('sediment settlement prevention').,"The title suggests a morphological trait that prevents sediment settlement, but no measured biological response (e.g., clearance, survival) is stated.",,,TITLE_ONLY,LOW,True,"The title clearly identifies a sponge and a sediment-related interaction, but it does not establish whether Haliclona urceolus is deep-sea or cold-water, nor whether the study measures an eligible biological response or merely describes a morphological trait. Without an abstract, I cannot distinguish CORE_INCLUDE from CITATION_CHAIN_CANDIDATE or EXCLUDE. Therefore UNCERTAIN is appropriate; full text is needed.",NO,NOT_CONFIRMED,,1,0472397d02931549baac6d0537e41be5a12a3664156656a1774cd6f8c3657ae3,b7771e836b11e839c6798419170cfaf7d3e757174610694971ec6bd76865f5c1
PEV-024,CWC-A6EF6A20E7D6,UNCERTAIN,U01_MISSING_ABSTRACT,"Coral reef organisms are mentioned in the title, but no deep-sea or cold-water context is provided.","Sediment is mentioned in relation to carbonate budgets, not as an explicit sediment exposure or pathway.",No explicit biological response to sediment is described in the title.,,,TITLE_ONLY,LOW,True,"Title-only screening. The record concerns coral reef carbonate budgets, with sediment as a budget component rather than an explicit stressor. No deep-sea or cold-water context is provided, and no coral/sponge biological response to sediment is described. Because the abstract is missing and we cannot infer tropical vs cold-water status or whether organism-level responses are reported, the decision is UNCERTAIN. It may be an ecosystem-scale carbon budget study (likely out of scope) or could contain transferable or citation-chain-relevant content, but the supplied text is insufficient. Full text is needed.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://doi.org/10.1002/lno.11609,2,36f0fe631446395c3b8d78ce2c3188553d79a5b4bd6e4d4c06698f1a7c658d84,2f12ce23309879ac79c4dd0629a24ab11a7e505468af5b328ff5a4839addd095
PEV-025,CWC-F2591A201364,CORE_INCLUDE,,Deep-water sponge Geodia barretti,Water-based drilling muds (explicit sediment-related exposure),Sub-lethal effects (title indicates biological response),,,TITLE_ONLY,HIGH,False,"The title identifies a deep-water sponge, Geodia barretti, and explicitly evaluates sub-lethal effects of water-based drilling muds, constituting a sediment-related exposure pathway and biological response. This matches core include criteria: cold-water/deep-sea organism, explicit drilling-mud exposure, and measured sub-lethal effects. No abstract was available, but the title alone is sufficient to establish all required elements. The closest alternative would be citation-chain candidate, but because a response is present in the title, core include is preferred. No transferability basis needed as this is not a warm-water/transferable case.",NO,NOT_CONFIRMED,,1,3ccda2a1c16248586c37ec11072ecbbf9fc9cc7bd2709e3cbeda07df9a7f1a88,5e075537f7278e93a22663f835328615e2c21f4e2627ca83871e079342407aaa
PEV-026,CWC-6504F386F1B3,CORE_INCLUDE,,deep-water coral community in the Gulf of Mexico; 43 corals imaged at an impacted site,brown flocculent material (floc) containing Macondo oil covering corals; explicit particulate deposition pathway,"tissue loss, sclerite enlargement, excess mucous production, covering by floc, ranked colony impact; 46% of colonies impacted on >50% of colony",,,TITLE_ABSTRACT,HIGH,False,"The abstract describes a deep-water coral community exposed to flocculent particulate material (floc) at a site near the Macondo well. This is a particulate deposition pathway, not merely oil or chemical exposure. The observed biological responses—tissue loss, sclerite enlargement, excess mucus production, and quantitative impact ranking—are explicit organism-level effects. Thus, the study meets the core inclusion criteria for sediment/particulate-related biological responses in deep-sea corals. The alternative of excluding due to oil focus is not supported because the particulate pathway is explicit and directly measured.",NO,NOT_CONFIRMED,,1,6ab9a98123fd8ab74ec631b3fe7a38ad4924492e619d538de1ffc33c337e71d9,838e8420e076c68ce0985991894f8316daf605fe764cd0068abf17b3d561d85c
