validation_record_id,corpus_id,selection_stratum,title,model_category,model_reason_code,model_confidence,review_basis,final_category,reviewer_note,model_rationale,screening_text,access,access_type,access_url,document_type,doi,url
V6V-045,CWC-210C328FBCBB,DEEPCOLD_RESPONSE,The 2.6 Ma depositional sequence from the Challenger cold-water coral carbonate mound (IODP Exp. 307): a unique palaeo-record of Plio-Pleistocene NE Atlantic climate variability,CITATION_CHAIN_CANDIDATE,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,HIGH,Confirm that reference mining is specifically justified.,,,"The abstract describes a cold-water coral carbonate mound's sedimentary sequence and its palaeo-environmental significance, but does not report any biological response to sediment exposure or a sediment stressor. While the organism is in scope (cold-water coral mound) and the sediment pathway is central (deposition, accumulation), there is no response evidence. This rules out CORE_INCLUDE. EXCLUDE would be too strong because the source has a specific sediment focus and is a credible lead for finding in-scope response literature. Therefore, CITATION_CHAIN_CANDIDATE is appropriate, with reason code C01 for deep/cold context lacking a response.","During IODP Expedition 307, the first complete sequence through a cold-water coral carbonate mound (a bio-geological seafloor feature created through successive stages of cold-water coral mediated sediment accumulation) was successfully acquired. The recovery of the Challenger Mound record, one of the large (ca. 155 m high) cold-water coral carbonate mounds along the NE Atlantic continental margin (Belgica Mounds,eastern Porcupine Seabight), finally facilitates the study of an entire coral carbonate mound’s development process and allows the identification of the environmental conditions driving and maintaining the build-up of these remarkable seafloor habitats. Furthermore, due to its location along the NE Atlantic continental margin, the Challenger Mound sequence contains a potential record of continent-ocean climatic evolution during the Plio-Pleistocene [1,2]. In this study, the different sediment contributors to the Challenger Mound are identified and assessed throughout its entire sedimentary sequence. High resolution siliciclastic particle-size end-member modelling and its ground-truthing (XRD, quartz-sand surface microtextures) indicate the dominant influence of a climatically-steered contour-current system. Iceberg rafting is identified as important depositional mechanism throughout the whole mound development. Furthermore, new evidence (Nd-Sr isotopes of ice-rafted grains) for locally-derived icebergs reaching the eastern Porcupine Seabight continental margin, even in the early stages of Northern Hemisphere glacial expansion, is preserved in the mound sequence. The Challenger Mound reveals a two-phase development, separated by a significant hiatus (from 1.7 to 1 Ma [1,2]). The lower mound-phase indicates a (semi-)continuous, fast accumulating current-controlled depositional environment, while the condensed upper mound-phase bears witness of the distinct shift to a more glacially-influenced, more varying global environment since the mid-Pleistocene climate transition. The density of the cold-water coral cover at the site of deposition plays an essential role in sediment deposition and preservation on Challenger Mound. Moreover, the sediment stabilising capacities of a dense coral cover facilitated sediment accumulation on Challenger Mound in the general erosive/non-depositional Pliocene environment present along the NE Atlantic continental margin. A unique, higher resolution record is hence preserved in the lower mound sequence. Overall, the potential of coldwater coral carbonate mounds as intermediate water depth, continental margin, Plio-Pleistocene palaeo-archives is showcased.",NO,NOT_CONFIRMED,,article,,http://www.vliz.be/nl/open-marien-archief?module=ref&refid=199190
V6V-046,CWC-46C0E98BA4FE,DEEPCOLD_RESPONSE,The 2.6 Ma depositional sequence from the Challenger cold-water coral carbonate mound (IODP Exp. 307): Sediment contributors and hydrodynamic palaeo-environments,CITATION_CHAIN_CANDIDATE,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,HIGH,Confirm that reference mining is specifically justified.,,,"The record concerns the depositional history and sediment contributors of a cold-water coral carbonate mound, with no biological response endpoint. It is a deep-sea/cold-water coral source with a strong sediment-focus, making it a credible citation-chain lead for sediment-related coral response evidence. It is not core because no organism-level response is reported. Exclude is inappropriate due to the deep-sea cold-water context and sediment focus. Transferable mechanism also not applicable because no response is assessed.","During IODP Expedition 307, the first complete sequence through a cold-water coral carbonate mound (a bin-geological seafloor feature created through successive stages of cold-water coral mediated sediment accumulation) was successfully acquired. The full recovery of the Challenger Mound, one of the large (ca. 155 m high) coral carbonate mounds along the NE Atlantic continental margin (Belgica mound province, eastern Porcupine Seabight) facilitates for the first time the study of the entire development of a coral carbonate mound and, hence, allows the identification of the environmental conditions driving and maintaining the entire build-up of these remarkable seafloor habitats. In this study, the different sediment contributors to the Challenger Mound are identified and assessed throughout its entire 2.6 Ma long development. High-resolution siliciclastic particle-size end-member modelling and its ground-truthing (XRD, quartz-sand surface microtextures) indicate the influence of an all dominant contour-current system, operating in variable energetic modes, for most of the sediment accumulation history of the Challenger Mound. Only local, short-distance current-controlled sediment re-dispersal is evidenced, while iceberg rafting is identified as an important depositional mechanism throughout the whole mound development period. Furthermore, evidence for icebergs repeatedly reaching the eastern Porcupine Seabight continental margin, even in the early stages of Northern Hemisphere glacial expansion, is preserved in the mound sequence. Supporting the existing coral-stratigraphy, the Challenger Mound depositional sequence reveals a two-phase development, separated by a significant hiatus. The lower mound-phase (M1; 2.6-1.7 Ma) indicates a semi-continuous, steadily changing, fast accumulating current-controlled depositional environment. The condensed upper mound-phase (M2; 998-1.5 ka) bears witness of a distinct shift to a more glacially-influenced, low accumulation environment, most likely resulting from a reduced capacity to deposit and/or preserve sediments. Cold-water coral density at the site of deposition is assumed to play an essential role in sediment deposition and preservation on Challenger Mound. It enabled the preservation of a unique, higher resolution record in the lower M1 sequence in the otherwise erosive/non-depositional Early-Pleistocene environment along the NW European continental margin. The potential of coral carbonate mounds as intermediate water depth, continental margin, (Plio-)Pleistocene palaeo-archives is thereby showcased. (C) 2010 Elsevier B.V. All rights reserved.",NO,NOT_CONFIRMED,,article,10.1016/j.margeo.2010.02.021,https://doi.org/10.1016/j.margeo.2010.02.021
V6V-049,CWC-17DD3B7BCE9D,DEEPCOLD_CONTEXT_OR_CITATION,Control of Deep Currents on Sediment and Cold-Water Coral Distribution on the Northern Manihiki Plateau,CITATION_CHAIN_CANDIDATE,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,HIGH,Confirm that reference mining is specifically justified.,,,"The abstract describes a deep-sea cold-water coral habitat distribution study at ~2,000-2,500 m depth. It reports sediment cover patterns and coral abundance differences related to deep currents. No eligible biological response (e.g., mortality, growth, physiology) is measured; the study is a distribution/habitat-description source. It is therefore not CORE_INCLUDE. It is a substantive deep-sea/cold-water coral source with a direct sediment and current focus, making its reference list a credible lead to in-scope response evidence. It is not EXCLUDE because it is a credible citation-chain candidate, and not TRANSFERABLE_MECHANISM because no trait response is tested.","High-definition video surveys of remotely-operated vehicle (ROV) dives from the NOAA's Mountains in the Deep 2017 expedition (EX1705) along volcanic ridges and seamounts of the Manihiki Plateau coupled with multibeam bathymetry data and water column profiles, reveal no or minimal sediment cover on the basaltic edifice, but variable amounts of cold-water corals on ferromanganese-encrusted basaltic rocks. Coarse sediment, however, accumulates in crevasses and sedimentary ripples testify the existence of currents in the area. Collectively, these observations illustrate the strong influence of deep currents on the surficial geology and cold-water coral distribution at similar to 2,000 m water depths. Dive transects along two basaltic seamounts show stark differences of sedimentary features and cold-water coral distribution. On the ridges of ""Te Kawhiti"" (water depth: 2,089-2,220 m), basaltic slabs, and cold-water corals are far more abundant in comparison to the slope of a mesa in ""Te Tuku"" (water depth: 2,440-2,495 m). The increased abundance on ""Te Kawhiti"" is due to the exposure of ""Te Kawhiti"" to Lower Circumpolar Deep Water that sweeps the summit of the ridges as indicated by frequent ripples observed in between the basaltic rocks. The currents are strong enough to sweep fine-grained sediments away, leaving coarse-grained sediments behind, inducing the formation of ferromanganese crust on the basaltic rocks. Both dive sites are below the high-Mg calcite saturation horizon, and as a result, the cold-water coral community is dominated by Isididae, which can build a high-Mg calcite skeleton in water undersaturated in regards to high-Mg calcite.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,,article,10.3389/fmars.2020.00288,https://doi.org/10.3389/fmars.2020.00288
V6V-052,CWC-4FA30D292001,DEEPCOLD_RESPONSE,"The Importance of Ecological Accommodation Space and Sediment Supply for Cold-Water Coral Mound Formation, a Case Study From the Western Mediterranean Sea",CITATION_CHAIN_CANDIDATE,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,HIGH,Confirm that reference mining is specifically justified.,,,"The record is a sedimentological study of cold-water coral mound formation, explicitly linking coral framework baffling, ecological accommodation space, and sediment supply. However, it reports physical sedimentary responses (mound aggradation, grain-size shifts), not a biological or physiological response in corals. Therefore, it does not meet CORE_INCLUDE criteria. It also does not test a transferable mechanism (no organism-level sediment response). As a substantive deep-sea/cold-water coral source with direct sediment focus, it is a credible citation-chain lead for finding in-scope biological response evidence. EXCLUDE is not appropriate because the context and sediment pathway are clearly relevant. UNCERTAIN is unnecessary given the full abstract.","The formation of cold-water coral (CWC) mounds is commonly seen as being the result of the sustained growth of framework-forming CWCs and the concurrent supply and deposition of terrigenous sediments under energetic hydrodynamic conditions. Yet only a limited number of studies investigated the complex interplay of the various hydrodynamic, sedimentological and biological processes involved in mound formation, which, however, focused on the environmental conditions promoting coral growth. Therefore, we are still lacking an in-depth understanding of the processes allowing the on-mound deposition of hemipelagic sediments, which contribute to two thirds of coral mound deposits. To investigate these processes over geological time and to evaluate their contribution to coral mound formation, we reconstructed changes in sediment transport and deposition by comparing sedimentological parameters (grain-size distribution, sediment composition, accumulation rates) of two sediment cores collected from a Mediterranean coral mound and the adjacent seafloor (off-mound). Our results showed that under a turbulent hydrodynamic regime promoting coral growth during the Early Holocene, the deposition of fine siliciclastic sediments shifted from the open seafloor to the coral mounds. This led to a high average mound aggradation rate of &amp;gt;130 cm kyr –1 , while sedimentation rates in the adjacent off-mound area at the same time did not exceed 10 cm kyr –1 . Thereby, the baffling of suspended sediments by the coral framework and their deposition within the ecological accommodation space provided by the corals seem to be key processes for mound formation. Although, it is commonly accepted that these processes play important roles in various sedimentary environments, our study provided for the first time, core-based empirical data proving the efficiency of these processes in coral mound environment. In addition, our approach to compare the grain-size distribution of the siliciclastic sediments deposited concurrently on a coral mound and on the adjacent seafloor allowed us to investigate the integrated influence of coral mound morphology and coral framework on the mound formation process. Based on these results, this study provides the first conceptual model for coral mound formation by applying sequence stratigraphic concepts, which highlights the interplay of the coral-framework baffling capacity, coral-derived ecological accommodation space and sediment supply.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://www.frontiersin.org/articles/10.3389/fmars.2021.760909/pdf,article,10.3389/fmars.2021.760909,https://doi.org/10.3389/fmars.2021.760909
V6V-054,CWC-5A06A3A51CB3,DEEPCOLD_CONTEXT_OR_CITATION,The influence of different deep-sea coral habitats on sediment macrofaunal community structure and function,CITATION_CHAIN_CANDIDATE,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,HIGH,Confirm that reference mining is specifically justified.,,,"The abstract clearly indicates that the study's biological responses belong to macrofauna, not corals or sponges, so it fails CORE_INCLUDE. The deep-sea coral and sediment focus makes it a credible citation-chain lead, as its references may point to coral/sponge sediment-response evidence. Thus CITATION_CHAIN_CANDIDATE with C01 is preferred over EXCLUDE.","Deep-sea corals can create a highly complex, three-dimensional structure that facilitates sediment accumulation and influences adjacent sediment environments through altered hydrodynamic regimes. Infaunal communities adjacent to different coral types, including reef-building scleractinian corals and individual colonies of octocorals, are known to exhibit higher macrofaunal densities and distinct community structure when compared to non-coral soft-sediment communities. However, the coral types have different morphologies, which may modify the adjacent sediment communities in discrete ways. Here we address: (1) how infaunal communities and their associated sediment geochemistry compare among deep-sea coral types ( Lophelia pertusa, Madrepora oculata, and octocorals) and (2) do infaunal communities adjacent to coral habitats exhibit typical regional and depth-related patterns observed in the Gulf of Mexico (GOM). Sediment push cores were collected to assess diversity, composition, numerical abundance, and functional traits of macrofauna (&gt;300 µm) across 450 kilometers in the GOM at depths ranging from 263–1,095 m. Macrofaunal density was highest in L. pertusa habitats, but similar between M. oculata and octocorals habitats. Density overall exhibited a unimodal relationship with depth, with maximum densities between 600 and 800 m. Diversity and evenness were highest in octocoral habitats; however, there was no relationship between diversity and depth. Infaunal assemblages and functional traits differed among coral habitats, with L. pertusa habitats the most distinct from both M. oculata and octocorals. These patterns could relate to differences in sediment geochemistry as L. pertusa habitats contained high organic carbon content but low proportions of mud compared to both M. oculata and octocoral habitats. Distance-based linear modeling revealed depth, mud content, and organic carbon as the primary factors in driving coral infaunal community structure, while geographic location (longitude) was the primary factor in functional trait composition, highlighting both the location and ecological differences of L. pertusa habitats from other coral habitats. Enhanced habitat structural complexity associated with L. pertusa and differences in localized hydrodynamic flow may contribute to the dissimilarities in the communities found among the coral types. Our results suggest a decoupling for infaunal coral communities from the typical depth-related density and diversity patterns present throughout soft-sediment habitats in the GOM, highlighting the importance of deep-sea corals in structuring unique communities in the nearby benthos.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,,article,10.7717/peerj.5276,https://doi.org/10.7717/peerj.5276
V6V-055,CWC-7398D80B9FD9,AMBIGUOUS_TITLE_ONLY,Chapter 18 Drilling Mud Plumes From Offshore Drilling Operations: Implications for Coral Survival,UNCERTAIN,U01_MISSING_ABSTRACT,LOW,Resolve if the supplied title/abstract is sufficient; otherwise retain UNCERTAIN.,,,"Title indicates sediment-related exposure (drilling mud plumes) and a biological response (coral survival), which are within scope. However, the record lacks an abstract or other text to verify the coral species/habitat (deep-sea/cold-water vs tropical) or the nature of the survival evidence (measured, modeled, or inferred). The title alone is insufficient to confirm the organism is within scope or that a substantive response is reported. Because confidence is low and the record is ambiguous, UNCERTAIN is required. Closest alternative CORE_INCLUDE would require evidence that corals are deep-sea/cold-water and that survival is an observed/assessed response, which is missing. EXCLUDE is not appropriate because no clear scope failure is documented.",,NO,NOT_CONFIRMED,,book-chapter,10.1016/s0422-9894(08)71395-3,https://doi.org/10.1016/s0422-9894(08)71395-3
V6V-058,CWC-3A2EA7B59FD6,DEEPCOLD_RESPONSE,Stable Isotope composition of particulate organic matter and fauna in a deep Mediterranean cold-water coral bank,EXCLUDE,X03_STRESSOR_OUT_OF_SCOPE,HIGH,Audit possible silent exclusion from the deep/cold response-enriched stratum.,,,"The record concerns cold-water coral trophic ecology using stable isotopes. Although it mentions sedimented organic matter, this is a food-source variable, not an explicit sediment stressor or pathway. No sediment-related biological response (e.g., mortality, growth, feeding under sediment exposure, burial tolerance) is reported. Thus it does not meet core inclusion criteria. The absence of a sediment stressor is a specific eligibility failure, so exclusion is appropriate rather than citation-chain candidacy, which requires a direct sediment/drilling/monitoring focus for reference mining. Warm-water transferability is irrelevant.","Cold-water corals (CWC) are frequently reported from deep sites with locally accelerated currents that enhance seabed food particle supply. Moreover, zooplankton likely account for ecologically important prey items, but their contribution to CWC diet remains unquantified. We investigated the benthic food web structure of the recently discovered Santa Maria di Leuca (SML) CWC province (300 to 1100 m depth) located in the oligotrophic northern Ionian Sea. We analyzed stable isotopes (delta13C and delta15N) of the main consumers (including ubiquitous CWC species) exhibiting different feeding strategies, zooplankton, suspended particulate organic matter (POM) and sedimented organic matter (SOM). Zooplankton and POM were collected 3 m above the coral colonies in order to assess their relative contributions to CWC diet. The delta15N of the scleractinians Desmophyllum dianthus, Madrepora oculata and Lophelia pertusa and the gorgonian Paramuricea cf. macrospinawere consistent with a diet mainly composed of zooplankton. The antipatharian Leiopathes glaberrima was more 15N- depletedthan other cnidarians, suggesting a lower contribution of zooplankton to its diet. Our delta13C data clearly indicate that the benthic food web of SML is exclusively fuelled by carbon of phytoplanktonic origin. Nevertheless, consumers feeding at the water sediment interface were more 13C-enriched than consumers feeding above the bottom (i.e. living corals and their epifauna). This pattern suggests that carbon is assimilated via 2 trophic pathways: relatively fresh phytoplanktonic production for 13C-depleted consumers and more decayed organic matter for 13C-enriched consumers. When the delta13C values of consumers were corrected for the influence of lipids (which are significantly 13C-depleted relative to other tissue components), our conclusions remained unchanged, except in the case of L. glaberrima which could assimilate a mixture of zooplankton and resuspended decayed organic matter.",NO,NOT_CONFIRMED,,dataset,10.1594/pangaea.771095,https://figshare.com/articles/Stable_Isotope_composition_of_particulate_organic_matter_and_fauna_in_a_deep_Mediterranean_cold-water_coral_bank/10849151
V6V-060,CWC-CBED2EBBD4BB,DEEPCOLD_RESPONSE,Discovery of a giant cold-water coral mound province along the northern Argentine margin and its link to the regional Contourite Depositional System and oceanographic setting,CITATION_CHAIN_CANDIDATE,C03_STRESSOR_OR_TRAIT_LEAD,HIGH,Confirm that reference mining is specifically justified.,,,"This record is a deep-sea cold-water coral study focused on geological, oceanographic, and sedimentary processes. It explicitly discusses suspended sediment, contourite deposition, and burial of coral mounds, making it a strong citation-chain lead for sediment-related coral response evidence. However, it does not report an observed, measured, or explicitly assessed biological response to sediment stress, such as mortality, growth, or physiology. Therefore, it cannot be CORE_INCLUDE. It is not a warm-water study, so EXCLUDE is inappropriate. CITATION_CHAIN_CANDIDATE with reason C03 is most suitable because the source's sediment and deposition focus is likely to lead to in-scope response studies.","Abstract In the southern oceans, only a few cold-water coral mound sites have so far been reported compared to the extensively surveyed North Atlantic. Here, we document for the first time the widespread occurrence of exposed and buried coral mounds at the northern Argentine margin named Northern Argentine Mound Province (NAMP). The integration of multibeam bathymetry, sediment echosounder, Acoustic Doppler Current Profiler (ADCP), and CTD data allowed the characterisation of its morphosedimentary, stratigraphic, and hydrodynamic setting. The NAMP, covering at least 2000 km2, represents the largest coral mound province in terms of areal extent reported so far and a major site in the southern oceans. The coral mound distribution is directly linked to morphosedimentary features of the regional Contourite Depositional System (CDS) influenced by the Antarctic Intermediate Water (AAIW), the Upper Circumpolar Deep Water (UCDW), and their interface, forming a complex bottom-current-controlled environment here termed Coral-Contourite System. Coral mounds are most abundant in the lower AAIW between 900 and 1050 m, just above the Ewing Terrace Moat, which has been shaped by high-velocity currents associated with the AAIW-UCDW boundary. This clustering appears to be the result of an increased concentration of suspended sediment and food particles, transported along the AAIW-UCDW density gradient and delivered upward by turbulent hydrodynamic processes, which are enhanced by the irregular moat topography. Within the Ewing Terrace Moat, coral mounds are restricted to topographic obstacles, modifying the otherwise highly erosive, destructive hydrodynamic regime and thereby locally creating favourable conditions for coral growth. The low-velocity currents of the UCDW, currently influencing the Ewing Terrace, promote extensive contourite deposition, which has led to a progressive demise and burial of pre-existing mounds. The presence of these buried mounds suggests past mound aggradation 100 to 150 m deeper likely due to a downward shift of the AAIW during glacials as a consequence of sea-level lowering. Overall, the mound formation in the NAMP seems to be mainly controlled by the availability of suspended particles, in combination with a sufficient bottom-current strength, keeping material in suspension while preventing destructive erosion and excessive sedimentation. Our study highlights (1) the importance of high-energy processes at water-mass boundaries for the delivery of sediment and food particles to corals, (2) the role of the AAIW as a crucial water mass for coral mound development, (3) the variability of mounds in response to glacial-interglacial cycles, and (4) the potential of CDSs in general and the Argentine margin in particular as hotspots for coral mounds and, thus, ideal site for future studies.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,http://hdl.handle.net/11336/168888,article,10.1016/j.margeo.2020.106223,https://doi.org/10.1016/j.margeo.2020.106223
V6V-062,CWC-BA4201820CB9,DEEPCOLD_RESPONSE,Polyp loss and mass occurrence of sea urchins on bamboo corals in the deep sea: an indirect effect of fishing impact?,EXCLUDE,X03_STRESSOR_OUT_OF_SCOPE,HIGH,Audit possible silent exclusion from the deep/cold response-enriched stratum.,,,"This record is about deep-sea bamboo corals, but the stressor examined is sea urchin presence and possible bioerosion/corallivory, with fishing as background impact. No sediment-related exposure, turbidity, deposition, burial, or particulate pathway is mentioned. The polyp/tissue loss is a biological response, but it is not linked to a sediment stressor. Therefore, the stressor is out of scope, and the record is excluded. It is not a citation chain candidate because it lacks a sediment focus.","The ability of corals to detach their polyps (leaving behind a naked skeleton) in times of stress, allows polyps to escape from a local source of hostility (Sammarco 1982). In situ observations of this behavior (referred to as “polyp bailout”) were first documented in tropical reef-building corals. Later it was observed in some cold-water corals of Acanthogorgia (Braga-Henriques 2014), and Acanella arbuscula (Rakka et al. 2019) in aquaria. To the best of our knowledge, field observations of polyp bailout in the deep-sea have not been made, and triggering factors are unknown. Here, we describe massive tissue and polyp loss (potentially polyp bailout) on bamboo corals Keratoisidinae (family Isididae) photographed on Discovery seamount southwest of Cape Town, South Africa (South East Atlantic Ocean) at 850–960 m depth, and at 1,135–1,160 m depth on Mongrel seamount off the coast of Tasmania, Australia (Southwest Pacific Ocean; Fig. 1). Perched atop these naked colonies were large numbers of the deep-sea urchins (family Echinidae) Dermechinus horridus at Discovery and Mongrel seamounts and two instances of Gracilechinus multidentatus at Mongrel seamount. At Discovery seamount, 31% of the naked colonies contained D. horridus. All observations were from areas historically exposed to extensive fisheries: demersal longlining (southeast Atlantic; Bensch et al. 2009) and bottom trawling (southwest Pacific; Williams et al. 2010). Unfavorable environmental conditions are believed to cause polyp bailout and subsequent death of colonies (see references in Rakka et al. [2019]). For tropical corals, low food availability, competitive interactions with macroalgae, as well as rapid changes in temperature, salinity, and pH have been listed as the main stressors. However, in the deep sea, low food availability, and stable temperature, salinity, and pH is typical. Thus, deep-sea ecosystems are predominantly structured by species interactions rather than by physical factors and are known to be more stable and less stressful (Ashford et al. 2018). We discuss possible triggering factors that may explain massive tissue and polyp loss of Keratoisidinae corals. To compare D. horridus occurrence on various substrates, a linear model and post hoc test were performed on their densities using R version 3.6.2 for Mac OS X (Hothorn and Bretz 2008, R Core Team 2019). Significance was determined at P < 0.05. Visual inspection of standard model validation graphs was used to verify model assumptions. A log transformation, plus offset of 1, was used to meet the assumption of normality. The substrate categories of hosts for D. horridus were (1) dead coral (dead Keratoisis, attached to substrate, broken or intact, 0% live tissue), (2) partly dead coral (Keratoisis, attached to substrate, broken or intact, >0 to <90% live tissue), (3) live coral (Keratoisis, attached to substrate, only minor injuries, >90% live tissue), (4) coral fragments (dead or partly alive loose fragments), and (5) sponge (live sponge of various species and sizes). In 2019, R/V Dr Fridtjof Nansen surveyed 14 locations across five seamounts in the SEAFO (South East Atlantic Fisheries Organization) sub area D, at 400–1,800 m depth with an ROV (Buhl-Mortensen, 2020). Some of these seamounts are currently closed to fishing whereas others are being fished for Patagonian toothfish (Bensch et al. 2009). Abundant bamboo corals (Keratoisis sp.) were only observed on Discovery seamount, where high abundance of sea urchins and naked colonies were also observed. Similar interactions were noticed previously during a research expedition onboard the R/V Southern Surveyor in 2006. Here, 17 adjacent seamounts were surveyed across two areas (Tasman Fracture and Huon areas) south of Tasmania, using a towed camera system (Williams et al. 2010). Naked bamboo coral populated by D. horridus and G. multidentatus were observed on Mongrel seamount in the Huon area between 1,135 and 1,160 m depth. Deep-sea fisheries in the area started in the early 1990s, and were still actively trawled at the time of the study (Williams et al. 2010). At Discovery Seamount, there were significantly more D. horridus on dead and partly dead coral than on sponges (P < 0.001 for both), live coral (P < 0.01, for both), and coral fragments (P < 0.001, for both) (Fig. 2). There were no significant differences between densities of D. horridus on dead compared to partly dead coral, and on sponges vs. live coral vs. coral fragments. The few intact colonies were not populated with sea urchins. Sea urchins were never observed over live polyps or coral tissue. We present three possible causes for massive bamboo coral damage. First, we consider sea urchin bioerosion and/or corallivory. Large-scale habitat impacts as a consequence of sea urchin gluttony has not been reported in the deep sea. However, gut content analyses suggest deep-sea urchins may erode and/or consume reef-forming scleractinian corals (Stevenson and Rocha 2013). These analyses revealed bioerosion and corallivory of deep-sea reef-building corals Desmophyllum pertusum and Madrepora oculata by several sea urchin taxa, including other members of family Echinidae (Gracilechinus elegans and Gracilechinus alexandri) from the Northeast Atlantic Ocean (Stevenson and Rocha 2013). While bioerosion or consumption of non-reef building corals have not been reported for sea urchins, other echinoderms have been found to feed on antipatharians and octocorals, including bamboo corals (Mah and Nizinski 2010). The jaw mechanism of D. horridus is less extensive than those of other Echinidae species, but bamboo corals are more fragile than reef-building corals because of their partly organic joint-like nodes. It is possible that D. horridus and G. multidentatus are bioeroding the axes, non-retractile polyps, and/or the coenenchyma of the bamboo coral. Second, it may be a colony stress response to sea urchin perching on the coral branches, leading to polyp bailout. The weak jaw mechanism of D. horridus, in combination with the pronounced vertical elongation of the corona and its modified secondary spines has led some to propose a suspension feeding mode (Fell 1976). While this remains undocumented, suspension feeding has been described in four other sea urchin taxa (e.g., Dendraster, Echinostrephus, Echinometra, and Evechinus). Consistent with this feeding mode, and as seen in Fig. 1, D. horridus is commonly observed atop living coral structures (as opposed to low-lying and less complex habitats like sediment, coral rubble, or bedrock) (Stevenson et al. 2018). Placement atop coral (Fig 1a–g), above the seafloor and into swifter currents facilitate the capture of organic particles and reduce sediment clogging. This position in strong currents implies that D. horridus needs to hold firmly to the coral branches in order to feed. Physical damage may thus be a consequence of D. horridus grasping the fragile coral branches rather than bioerosion or corallivory. However, initial tissue (coenosarc) withdrawal was evident in some branch tips (see arrows in Fig. 1f), which could not have been due to the physical presence of the urchins in these parts of the colony. Naked tips are a typical feature of polyp bailout and indicate that the colony is stressed (e.g., by the presence of D. horridus). We propose that polyp bailout progress from tips (Fig. 1f) as well as from near the urchins, resulting in polyp loss along the entire skeleton (see newly naked skeleton in Fig. 1a, e). Corals attached to a substrate with different health status (dead, partly dead, and live) were within the same height range but differed with respect to density of urchins. However, we do not believe that D. horridus prefer dead vs. live coral and propose the higher density of D. horridus on dead and partly dead coral branches is a consequence of the sea urchins colonizing a live colonies, causing coenenchymal tissue and polyp mortality (through physical contact), the",NO,NOT_CONFIRMED,,article,10.1002/ecy.3564,https://doi.org/10.1002/ecy.3564
V6V-072,CWC-B1DE4BEDAD33,DEEPCOLD_RESPONSE,Microhabitat type determines the composition of nematode communities associated with sediment-clogged cold-water coral framework in the Porcupine Seabight (NE Atlantic),CITATION_CHAIN_CANDIDATE,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,HIGH,Confirm that reference mining is specifically justified.,,,"The study examines nematode communities on cold-water coral framework, sponge skeletons, and sediment. It does not report a coral or sponge response to sediment. Therefore it is not CORE_INCLUDE or TRANSFERABLE_MECHANISM. However, as a deep/cold-water coral habitat study explicitly addressing sediment-clogged framework, it is a plausible citation-chain lead for sediment-related coral/sponge response studies. EXCLUDE is not preferred because the paper is substantive and directly about cold-water coral sediment habitat, even though the measured organisms are nematodes.","The nematofauna associated with a cold-water coral degradation zone in the Porcupine Seabight (NE Atlantic) was investigated. This is the first comprehensive study of nematodes associated with cold-water corals. This research mainly aimed to investigate the influence of microhabitat type on nematode community structure. Three distinct microhabitats for nematodes were distinguished: dead coral fragments, glass sponge skeletons and the underlying sediment. The nematode assemblages associated with these three microhabitats were significantly different from each other. Coral and sponge substrata lie relatively unprotected on the seafloor and are consequently more subjected to strong currents than the underlying sediment. As a result, both large biogenic substrata were characterized by higher abundances of taxa that are less vulnerable and more adapted to physical disturbance, whereas the underlying sediment yielded more slender, sediment-dwelling taxa. Typically epifaunal taxa, such as Epsilonematidae and Draconematidae, were especially abundant on dead coral fragments, where they are thought to feed on the microbial biofilm which covers the coral surface. Several epifaunal genera showed significant preferences for this microhabitat, and Epsilonema (Epsilonematidae) was dominant here. Sponge skeletons are thought to act as efficient sediment traps, resulting in a lower abundance of epifaunal taxa compared to coral fragments. The underlying sediment was dominated by taxa typical for slope sediments. The considerable degree of overlap between the communities of each microhabitat is attributed to sediment infill between the coral branches and sponge spicules. It is assumed that the nematofauna associated with large biogenic substrata is composed of a typical sediment-dwelling background community, supplemented with taxa adapted to an epifaunal life strategy. The extent to which these taxa contribute to the community depends on the type of the substratum. Selective deposit feeders were dominant on sponge skeletons and in the underlying sediment, whereas coral fragments were dominated by epistratum feeders. The presence of a microbial biofilm on the coral fragments is proposed as an explanation for the significant preference of epistratum feeders for this microhabitat. Densities in the underlying sediment were low in comparison with other studies, but biodiversity was higher here than on the coral and sponge fragments, a difference which is attributed to lower disturbance. Nevertheless, the large biogenic substrata provide a microhabitat for rare, epifaunal taxa, and fragments of both substrata within the sediment increase habitat complexity and hence biodiversity. (c) 2006 Elsevier Ltd. All rights reserved.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://biblio.ugent.be/publication/358202/file/458772.pdf,article,10.1016/j.dsr.2006.08.012,https://doi.org/10.1016/j.dsr.2006.08.012
