calibration_record_id,corpus_id,decision,reason_code,organism_evidence,stressor_evidence,response_evidence,transferability_basis,citation_chain_basis,screening_source,confidence,needs_full_text,rationale,attempts,request_sha256,response_sha256
V6V-018,CWC-06A242DB83C1,CORE_INCLUDE,,"Stony coral Lophelia pertusa, a cold-water/deep-sea scleractinian coral",Exposure to drill cuttings at 2-12 mg/L and petroleum discharges at the seafloor,Modifications in coral mucus protein composition in exposed versus unexposed individuals; preliminary protein marker discovery,,,TITLE_ABSTRACT,HIGH,False,"The abstract clearly identifies a deep-sea/cold-water coral (Lophelia pertusa), an explicit sediment-related stressor (drill cuttings and petroleum discharges), and an observed biological response (changes in mucus protein composition). This meets the core criteria for an eligible response, specifically tissue/proteomic effects and biomarker responses. The closest alternative would be CITATION_CHAIN_CANDIDATE, but that is inappropriate because a substantive response is reported, not merely a contextual lead. The preliminary nature and monitoring focus do not exclude it from core inclusion.",1,d1889c95d418f80e74d09ca27a55fd116d61dd07909a21090b076b19b6510abf,e24b49036eb744ceebd4ab208c1928cf13dde1fcc7b0d0bbbbc1634c28c8f2ba
V6V-019,CWC-95AB51414372,EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,"Study organism is juvenile anemonefish (Amphiprion melanopus), a coral reef fish, not a coral or sponge species.",Suspended sediment exposure at 0 or 180 mg/L for 7 days; acute exposure also tested.,"Predator escape performance and anti-predator behaviour (fast-start response, activity, open-area avoidance).",,,TITLE_ABSTRACT,HIGH,False,"The record focuses on a coral reef fish, not a cold-water or deep-sea coral or sponge. The scope explicitly requires corals (scleractinians, octocorals, etc.) or sponges (Porifera). Although there is a sediment exposure and behavioural response, the organism is outside the target taxonomic groups. No coral or sponge response is reported. This is a clear eligibility failure, so exclusion is appropriate. It is not a citation-chain candidate because the study is on fish and not substantively about coral or sponge sediment responses.",1,f05e0a3247e7724652a96e1eb2d9841bf90f74ea46603b6137917dd8e5da5bea,eb03c4b3400e1bd8efeb7f990cd24a5af4c9be1111be67e81dd2e8cfa982b021
V6V-020,CWC-A7E6E0FF198F,EXCLUDE,X04_SEDIMENT_PATHWAY_NOT_EXPLICIT,Deep-sea sponges from the Atlantic Ocean.,"None; dredging mentioned is collection method, not an explicit sediment exposure.",None.,,,TITLE_ONLY,HIGH,False,"The title indicates a taxonomic description of deep-sea sponges and spicules collected by dredging. No sediment-related stressor or biological response is described or implicated. Dredging merely serves as the collection method. The record lacks any explicit sediment pathway, burial, turbidity, or particulate exposure, and does not report an eligible coral or sponge response. As a deep-sea sponge taxonomic source, it could be considered a citation-chain lead, but its focus is taxonomy, not sediment impacts, so it does not meet the threshold for CITATION_CHAIN_CANDIDATE. The absence of any sediment-related content in the available information makes exclusion appropriate.",1,d17a94c1278ae31cbc157f33af27f7e2df8fac2de1a59d087cccf8a9adbdea83,4fd4f6d8aab457170a0b3b2d43d12038df3ca99983e24556ba2164e67cb5d337
V6V-021,CWC-4D68FDBA087A,EXCLUDE,X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE,"Tropical tabular coral Acropora cytherea at Lizard Island, Great Barrier Reef.",Sedimentation (tile orientation with 30% sediment cover on horizontal tiles) and fish grazing.,Early post-settlement survival quantified; grazing affected survival in one habitat; sedimentation had no detected effect on survival.,,,TITLE_ABSTRACT,HIGH,False,"The record concerns a warm-water/tropical coral (Acropora cytherea) and explicitly evaluates sedimentation effects on post-settlement survival. Under the decision rules, warm-water and tropical studies default to EXCLUDE, and the transferable mechanism category is reserved for non-tropical, cold/temperate organisms with explicit comparability to deep-sea/cold-water taxa. This study does not meet that exceptional standard, and the source is not a credible citation-chain lead for deep-sea/cold-water coral responses. Therefore, EXCLUDE with reason X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE is appropriate.",1,fc2ddd233911fc8719e96b201ac0bfca96ffe07b11f5c81593a1173906bd045d,2c7deb0e4ed0f744f3983f4c9e1007683653a66630107925b27ebb4006964b63
V6V-022,CWC-3FF748AC3C6B,UNCERTAIN,U01_MISSING_ABSTRACT,Solitary coral (taxon not specified in title),Sediment-accumulation rates (explicit in title),"Growth forms and distribution patterns (mentioned as index, but response nature unclear)",,,TITLE_ONLY,LOW,True,"Title suggests a link between solitary coral growth forms and sediment accumulation rates, but the abstract is missing and no full text is identified. It cannot be determined whether the corals are deep-sea or cold-water, whether the study evaluates a biological response to sediment exposure, or whether the source is substantive enough for inclusion. The stressor and response are potentially within scope, but the organism context is ambiguous. Since the record lacks sufficient information to distinguish among categories, it is marked UNCERTAIN with reason code U01_MISSING_ABSTRACT.",1,c9fc55cab858b2f9f8b57213d8254bfa55ecd67b8472ece3cd810bd857b8e3a2,bce33855370c5ba55f85a5e8abd93205ca45587b48c992d4c02dbe91482158e1
V6V-023,CWC-CE39881E5B30,EXCLUDE,X04_SEDIMENT_PATHWAY_NOT_EXPLICIT,"Deep-sea corals from the Challenger expedition, described as true corals dredged in deep water.","No explicit sediment-related exposure; dredging is used solely as a collection method, not as an environmental stressor or sediment pathway.","None reported; the report is a preliminary taxonomic description of coral specimens, with no mention of biological responses to sediment or dredging impacts.",,,TITLE_ABSTRACT,HIGH,False,"The record is a preliminary taxonomic report on deep-sea corals collected by dredging during the Challenger voyage. It describes specimens and species relations, not sediment-related biological responses. Dredging is merely a collection method and does not establish an explicit sediment exposure or pathway. No response evidence is present. The source is not a citation-chain lead because its focus is taxonomy, not sediment/dredging impacts. Therefore, it is excluded under the sediment-pathway-not-explicit criterion.",1,8e6147396356496a80f74fe0e42549af6bb5007f9661c1c27f17733b69950d68,f60b3d6ac5412ce0d34f5b5aa41dfcee326e96e855447144b37ca8cdfb85aeb1
V6V-024,CWC-121A40800870,EXCLUDE,X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE,"Acropora cervicornis, a warm-water tropical scleractinian coral",Short-term exposure to drilling muds,Calcification rate and protein concentration as responses,,,TITLE_ONLY,HIGH,False,"The title identifies Acropora cervicornis, a tropical coral species, and addresses responses to drilling mud exposure. This is a warm-water tropical study that defaults to exclusion under the rules. There is no evidence that this species or its environment, exposure, and responses are closely comparable to deep-sea or cold-water corals. The transferable mechanism category is not applicable because the required comparability is unsupported. The source is substantive but not a deep-sea/cold-water lead, so it is not a citation-chain candidate. Exclude.",1,006335a1228646001ee341e03fbb049d8f2c26dbe567200428a79a73a3d4f114,8f23cfeb377ccb871e956cc18c6892482e11f9e56b0521d01272e7677b7833a0
V6V-025,CWC-FE3241E9711D,EXCLUDE,X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE,"Tropical/subtropical branching coral Stylophora pistillata, nubbins transplanted at 6 m depth in the Red Sea (Eilat).",Organically enriched particulate matter released by a net-pen fish farm; settled particulate matter and partial burial of coral nubbins.,"Survival high at both sites; significant reduction in lateral growth rates for upward-oriented nubbins at the fish farm, faster growth in vertical orientation.",,,TITLE_ABSTRACT,HIGH,False,"The study concerns warm-water, shallow (6 m) Red Sea coral Stylophora pistillata, not a deep-sea or cold-water coral or sponge. Although it explicitly tests sediment/particulate exposure and measures survival and growth, the evidence does not support transferability to cold-water/deep-sea taxa. The transferable-mechanism exceptional category requires a non-tropical cold/temperate study with close comparability on organism, environment, exposure, and response; none are supported here. Therefore this warm-water tropical study defaults to EXCLUDE under X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE.",1,821b44d42221ea5c457cdbf6873c5b68489465e38eb3c80d555312758eb3a135,622b0c22e17a324ccb3f1503e0933c1f2e975c23ef85a09d5062bd3e1593b703
V6V-026,CWC-B8464381FEED,EXCLUDE,X03_STRESSOR_OUT_OF_SCOPE,"Warm-water tropical hard corals (Pavona, Porites, Acropora) in the Dampier Archipelago, northwestern Australia.","Successive heat stress events (DHW 12.7 and 14.4); total suspended solids (TSS) and light attenuation are environmental covariates, not direct sediment stressors.",Coral bleaching prevalence and changes in coral cover following heat stress; no sediment-specific biological response reported.,,,TITLE_ABSTRACT,HIGH,False,"This record describes tropical, warm-water corals on turbid reefs responding to successive heat stress events. Although suspended particulates and TSS are measured, the biological outcome (bleaching and coral cover change) is driven by thermal stress, not by an explicit sediment exposure pathway. The study does not involve deep-sea or cold-water corals/sponges, and the stressor is outside the scope of sediment-related effects. The tropical context also precludes use as a citation-chain candidate. Therefore, exclusion under X03 is appropriate.",1,1700ab95443b5f56f0f92996094b2ce181bd2359af2b2067b0a81d783f6d4cbf,5df58d3431bedb5aa652741c4d95bf57f9f4379f1661556bb6aabef3240f40e3
V6V-027,CWC-405753EB5E0A,EXCLUDE,X04_SEDIMENT_PATHWAY_NOT_EXPLICIT,"Turbid-water corals; no indication that they are deep-sea or cold-water corals; likely shallow-water, possibly tropical.","Title mentions 'turbid-water' as an environment, but no explicit sediment exposure, turbidity, burial, or plume pathway is described; focus is thermal tolerance.",Title indicates a trade-off between thermal tolerance and calcification; no explicit sediment-related biological response is reported.,,,TITLE_ONLY,MEDIUM,False,"This record is excluded because the title focuses on energetic trade-offs between thermal tolerance and calcification in turbid-water corals, not on sediment-related stressor-response relationships. The only potential sediment link is the term 'turbid-water,' which describes a habitat condition rather than an explicit exposure or biological response. Additionally, no evidence indicates that these corals are deep-sea or cold-water taxa. Therefore, the study does not meet core inclusion criteria, and the sediment pathway is not explicit enough to make it a citation-chain candidate for sediment-specific evidence.",1,9b4a091b7fd09bc39f09cf46551a5dcbabc5c94302f189b7b7dbe843e4b8033b,01d84d2db979b47388bb524192d99b13cf934fad3444397076468f8e3b99892d
V6V-028,CWC-ECD90E3C96E1,CITATION_CHAIN_CANDIDATE,C02_REVIEW_OR_MONITORING_LEAD,"Lophelia pertusa, a deep-water coral, studied in the laboratory; polyps monitored via time-lapse video.","Abstract explicitly discusses potential smothering by sediments disturbed by bottom trawls or sub-seabed drilling, and notes the method can record responses to sedimentation. No actual sediment exposure in this study.",No sediment-related biological response reported; polyp behaviour asynchrony is described but not linked to a sediment stressor. The method is proposed for future sedimentation response monitoring.,,"Substantive deep-water coral source with explicit sediment/monitoring focus; likely to cite or set up relevant sediment impact literature for deep-sea corals, making reference mining worthwhile.",TITLE_ABSTRACT,HIGH,False,"The record presents a method for monitoring deep-water coral polyp behaviour, with a clear conceptual link to sediment disturbance and a stated capability to record responses to sedimentation. However, no actual sediment exposure or biological response to sediment is observed or measured in the study itself. Therefore it is not CORE_INCLUDE. It is also not EXCLUDE because the deep-sea/cold-water context and direct sediment/monitoring focus make it a credible citation-chain lead. The closest alternative would be EXCLUDE for lack of response, but the explicit sediment/monitoring framing justifies CITATION_CHAIN_CANDIDATE.",1,97b07a9b899e41c823a6d3b8f151b484a4274561355c8259dd0fba3ab036310d,c305686a66a798a6104ddb770c611028a880191b0bad19f8e7a852647b530b1a
