query_id,family,source,date_searched,paper_id,corpus_id,title,authors,year,publication_date,venue,publication_types,doi,arxiv_id,pubmed_id,url,is_open_access,open_access_pdf_url,citation_count,reference_count,influential_citation_count,fields_of_study,s2_fields_of_study,abstract
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,02af1a57d31e688a33f5ae2b44bb4d90e5614cf2,133632599,Are Sri Lankan Reefs Losing the Resilience? An Example from Coral Reefs in Sallitive Island,R. Ranatunga; R. Weerasinghe; J. Prasad; P. Pethiyagoda,2017,2017-08-14,,,10.31357/FESYMPO.V21I0.3091,,,https://www.semanticscholar.org/paper/02af1a57d31e688a33f5ae2b44bb4d90e5614cf2,True,http://journals.sjp.ac.lk/index.php/fesympo/article/download/3091/2212,0,0,0,Geology,Geology; Environmental Science,"Coral reefs are known to undergo phase shift in to macro-algae and reefs have lost the capacity to remain in or return to a coral-dominated state. This shift will not only affect corals, but the others heavily depend on heterogeneous habitat afforded by corals. Sallitivu in Panichchankerni, Eastern province, is a small island (41328 m2). The Island is surrounded by a ring of coral reef with an elevated breaking reef crest, seaward slope and centred shallow lagoon (<1.2m at high tide). The shore is entirely a thick layer of washed coral rubbles. The archived aerial photographs confirmed these coral rubbles present only after 2004 tsunami. Underwater visual census were carried out within the reef lagoon and three sites in reef slope using 30 m long belt transect. In addition to diversity of corals and algae, percentages of live, dead and bleached coral cover were recorded. The reef lagoon is shallow (10-60 cm) and much of the reef crest is exposed at low tide. Within the reef lagoon, the live coral cover was <5%. Around 15% was observed recently bleached, 12% were overgrown by algae; Padina sp, Halimeda sp, Sargassum sp, Caulerpa recemosa and Dictyota sp, and the rest was dead corals smothered by sediments. The seaward slope with high wave action was mostly smothered dead corals with live corals <3%. Coral colonies were represented by Acroporidae (branching and table corals)-Acropora cytherea, A. divaricata, A. formosa, A. gemmifera, A. grandis, A. hemprichii, A. hyacinthus, A. latistella, Acropora sp., A. nobilis, and A. robusta; (Foliaceous)-Montipora aequituberculata and M. hispida; Faviidae (sub massive and encrusting)-Favites halicora, Favites spinosa, Leptastrea purpurea and Platygyra daedalea; Pocilloporidae (Lace/cauliflower) -Pocillopora damicornis; Poritidae (Massive/submassive)-Porites evermanni, P. paliformis, and P. rus. Live corals observed were immature. Southern end of the reef slope had emerging corals among unstable coral rubbles. It is assumed that the degradation was started post-tsunami and continued due to natural stresses. The recovery of corals may hindered by macro-algal growth and resulting accumulation of sediments, smothering due to less wave action within reef lagoon and resulting recruitment and settlement failure. Recent bleaching would be due to exposure to direct sunlight during the change of tides and low sea level. Increasing oxygen level due to algal blooms would also prone for bleaching. Avoiding such undesirable phase shifts from coral dominance to algae and reverse them when occur, requires an urgent reform of scientific approaches to understand the processes causing the degradation. A better understanding on why some reefs rapidly degrade and others do not is critical. Most reef conservation efforts are directed toward reserve implementation, but new approaches are needed to sustain ecosystem function since demarcation of a marine reserve alone would not benefit in improving reef resilience. Keywords: Phase-shift, Coral reefs, Macro-algae, Bleaching, Sallitive Island"
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,02b4d6c681482a771ea3b1b074b385b64494e90b,274210128,"Water quality assessment in Indonesia coral reef garden Buleleng site area, Bali",M. R. Badriana; A. Nur; A. Hidayatullah; D. F. Oktaviani; P. A. Widyananto; H. S. Park; A. Hutahean,2024,2024-11-01,IOP Conference Series: Earth and Environment,JournalArticle; Conference; Review,10.1088/1755-1315/1410/1/012009,,,https://www.semanticscholar.org/paper/02b4d6c681482a771ea3b1b074b385b64494e90b,True,https://iopscience.iop.org/article/10.1088/1755-1315/1410/1/012009/pdf,1,33,0,Physics,Physics; Environmental Science,"The Indonesia Coral Reef Garden (ICRG) program is announced as a coral reef restoration program and has 5 site areas including in Buleleng, Bali. A plantation program has been done by 2020 but it is necessary to monitor and study regarding the water quality surrounding the restoration area. A field survey in Buleleng was carried out on 6-7 October 2022 to measure ocean parameters both physical and chemical characteristics that are suitable for coral life. The bathymetry result at Buleleng varied significantly from shallow to deeper water depth. Many corals are found in the shallow area with the natural coral meanwhile the restoration coral was put in more than 3 m depth. In the study, the sea condition of temperature, salinity, pH, turbidity, and DO is 28.52 -29.66 °C, 33.6 - 33.9 ‰, 8.0 - 8.13,1.04 -1.78 FTU, and 4.27 - 4.85 mg/L, respectively. Based on the conformity of water quality, the water condition is good for coral growth. Heavy metal detected in sample water has low levels compared to marine biota threshold in the national standard."
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,02bc4f6f6b85c770ef53370a5337ae23424fb305,24051826,"Volcaniclastic events in coral reef and seagrass environments: evidence for disturbance and recovery (Middle Miocene, Styrian Basin, Austria)",M. Reuter; W. Piller,2011,2011-07-15,Coral reefs,,10.1007/s00338-011-0798-3,,,https://www.semanticscholar.org/paper/02bc4f6f6b85c770ef53370a5337ae23424fb305,False,,25,45,0,Geology,Geology; Environmental Science; Geology,
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,02c74443448402842386dcc3ba676693ed1f40a2,9766557,"The impacts of flooding on the high-latitude, terrigenoclastic influenced coral reefs of Hervey Bay, Queensland, Australia",Ian R. Butler; Brigitte Sommer; M. Zann; Jian-xin Zhao; J. Pandolfi,2013,2013-07-20,Coral reefs,,10.1007/s00338-013-1064-7,,,https://www.semanticscholar.org/paper/02c74443448402842386dcc3ba676693ed1f40a2,False,,31,51,1,Geography,Geography; Environmental Science; Geology,
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,02d90a8071627868adcf3c7eb705fc65fe24a678,245880121,"How moonlight shapes environments, life histories, and ecological interactions on coral reefs.",J. Shima; C. Osenberg; S. Alonzo; E. Noonburg; S. Swearer,2022,2022-01-12,Emerging Topics in Life Sciences,JournalArticle,10.1042/ETLS20210237,,35019136,https://www.semanticscholar.org/paper/02d90a8071627868adcf3c7eb705fc65fe24a678,False,,9,105,0,Medicine,Medicine; Environmental Science; Biology,"The lunar cycle drives variation in nocturnal brightness. For the epipelagic larvae of coral reef organisms, nocturnal illumination may have widespread and underappreciated consequences. At sea, the onset of darkness coincides with an influx of mesopelagic organisms to shallow water (i.e. 'diel vertical migrants') that include predators (e.g. lanternfishes) and prey (zooplankton) of zooplanktivorous coral reef larvae. Moonlight generally suppresses this influx, but lunar periodicity in the timing and intensity of nocturnal brightness may affect vertically migrating predators and prey differently. A major turnover of species occurs at sunset on the reef, with diurnal species seeking shelter and nocturnal species emerging to hunt. The hunting ability of nocturnal reef-based predators is aided by the light of the moon. Consequently, variation in nocturnal illumination is likely to shape the timing of reproduction, larval development, and settlement for many coral reef organisms. This synthesis underscores the potential importance of trophic linkages between coral reefs and adjacent pelagic ecosystems, facilitated by the diel migrations of mesopelagic organisms and the ontogenetic migrations of coral reef larvae. Research is needed to better understand the effects of lunar cycles on life-history strategies, and the potentially disruptive effects of light pollution, turbidity, and climate-driven changes to nocturnal cloud cover. These underappreciated threats may alter patterns of nocturnal illumination that have shaped the evolutionary history of many coral reef organisms, with consequences for larval survival and population replenishment that could rival or exceed other effects arising from climate change."
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,031f5178dc500fcfd85af7bd0bb08525ec71db8a,32156488,Environmental and economic implications of alternative cruise ship pathways in Bermuda,S. Lester; Crow White; Kevin Mayall; R. Walter,2016,2016-11-01,,,10.1016/J.OCECOAMAN.2016.08.015,,,https://www.semanticscholar.org/paper/031f5178dc500fcfd85af7bd0bb08525ec71db8a,True,https://digitalcommons.calpoly.edu/phy_fac/595,19,53,0,Environmental Science,Environmental Science; Environmental Science; Economics,"As the cruise ship industry moves towards ever larger vessels, many tourist destinations are faced with dilemmas about how to accommodate the latest generation of ships, which require deeper and wider shipping pathways. The location of nearshore shipping channels traveled by cruise ships has important environmental and economic implications, as dredging larger lanes damages habitat, ship traffic produces sediment plumes that can smother adjacent sensitive habitats (e.g., coral reefs, seagrass beds), and dredging costs vary spatially. These environmental and economic costs should ideally be evaluated in the context of projected benefits from increased tourism. To inform decision-making on cruise ship pathway design, we evaluated tradeoffs among tourism revenue to the local economy, dredging costs, direct coral damage and sedimentation impacts to coral reefs of alternative cruise ship approach channels for the island of Bermuda. We compiled economic data on cruise tourism and dredging costs and developed a sediment particle tracking model, overlaid on maps of coral cover, to track the spread of sediment particles and resulting coral sedimentation caused by cruise ships. Using our models we compared two viable routes, if dredged, for larger ships to reach Bermuda, along with a scenario of no dredging in which the next generation of larger ships is not accommodated. Our tradeoff analysis shows that the status quo (no dredging; no larger ships) scenario performs relatively well except for the risk of a significant loss in tourism revenue. When selecting between the two channel upgrade scenarios, the south channel upgrade is preferable if dredged material can be reused, thereby recouping dredging costs; otherwise, there is a strong tradeoff between upgrade costs and coral sedimentation. While developed with data layers and inputs specific to Bermuda, this analytical approach could easily be configured to other locations facing similar spatial planning decisions about whether and where to allow pathways for larger cruise ships."
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,038423822a9bd7d65913ae26a0cbd9557c1270a8,89634325,Combined effects of water quality and temperature on the early life history stages of the broadcast spawning coral Acropora tenuis,A. Schumann,2016,2016-08-01,,,,,,https://www.semanticscholar.org/paper/038423822a9bd7d65913ae26a0cbd9557c1270a8,False,,0,98,0,Biology,Biology; Environmental Science; Biology,
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,0386efd133147ed77961bced46c0295700893739,238421401,Global impacts of invasive species on the tipping points of shallow lakes,Sam A. Reynolds; D. Aldridge,2021,2021-10-06,Global Change Biology,JournalArticle,10.1111/gcb.15893,,34614545,https://www.semanticscholar.org/paper/0386efd133147ed77961bced46c0295700893739,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/gcb.15893,37,41,1,Environmental Science; Medicine,Environmental Science; Medicine; Environmental Science,"There is growing acknowledgement that human‐induced change can push ecosystems beyond tipping points, resulting in the dramatic and sudden loss of vital ecosystem services. Invasive non‐native species (INNS) are spreading rapidly due to anthropogenic activities and climate change and can drive changes to ecosystem functioning by altering abiotic conditions and restructuring native communities. Shallow lake ecosystems are especially vulnerable to perturbation from INNS as they can exist in two alternative stable states: either clear water with an abundance of vegetation or turbid, unvegetated and dominated by phytoplankton. Through a global meta‐analysis of studies observing the effects of INNS on recipient lake ecosystems, we found that certain INNS drive significant changes in the abundance of key taxa and conditions that govern the balance of alternative equilibria in shallow lakes. Invasive fish and crustaceans demonstrated effects likely to lead to early ecosystem collapse to a turbid state and delay ecosystem recovery. Invasive molluscs presented opposite effects, which may delay ecosystem collapse and encourage ecosystem recovery. Our results demonstrate that INNS could significantly alter the tipping points of ecosystem collapse and recovery, and that not all invasive species may initiate system collapse. Our results provide guidance for managers of invaded shallow lake ecosystems, which provide diverse services including sanitation, potable water supply, industrial cooling, aquaculture and recreational resources. Moreover, our approach could be applied to identify key potential drivers of change in other crucial ecosystems which demonstrate alternative equilibria, such as coral reefs and kelp forests."
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,04471f7675cf68393925a81efc4a95f14519085d,134669473,Understanding the effects of marine debris on wildlife,B. D. Hardesty; C. Wilcox; T. J. Lawson; M. Lansdell; T. V. D. Velde,2013,2013-07-30,,,10.4225/08/58D16A366783A,,,https://www.semanticscholar.org/paper/04471f7675cf68393925a81efc4a95f14519085d,False,,20,0,2,Environmental Science,Environmental Science; Environmental Science,
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,04919276800e5aaa28afc2dc58423fae66f42763,250959596,"Further Flattening of a Degraded, Turbid Reef System Following a Severe Coral Bleaching Event",A. Bauman; Fraser A. Januchowski‐Hartley; Aaron Teo; P. Todd,2022,2022-07-22,Frontiers in Marine Science,Review,10.3389/fmars.2022.910085,,,https://www.semanticscholar.org/paper/04919276800e5aaa28afc2dc58423fae66f42763,True,https://doi.org/10.3389/fmars.2022.910085,17,88,0,,Environmental Science,"Increasing incidence of severe coral bleaching events caused by climate change is contributing to extensive coral losses, shifts in species composition and widespread declines in the physical structure of coral reef ecosystems. With these ongoing changes to coral communities and the concomitant flattening of reef structural complexity, understanding the links between coral composition and structural complexity in maintaining ecosystem functions and processes is of critical importance. Here, we document the impacts of the 2016 global-scale coral bleaching event on seven coral reefs in Singapore; a heavily degraded, turbid reef system. Using a combination of field-based surveys, we examined changes in coral cover, composition and structural complexity before, during and after the 2016 bleaching event. We also quantified differential bleachingresponses and mortality among coral taxa and growth forms using a bleaching response index. Elevated SSTs induced moderate to severe coral bleaching across reefs in Singapore in July 2016, but low overall coral mortality (~12% of colonies). However, we observed high bleaching prevalence and post-bleaching mortality of the three most abundant coral genera (Merulina, Pachyseris and Pectinia), all generalists, declined significantly across reefs between March and November 2016. Four months post-bleaching (November 2016), small-scale structural complexity declined across all Singaporean reefs and no moderately complex reefs remained. Importantly, reductions in structural complexity occurred across reefs with a large range of live coral cover (19–62%) and was linked to the loss of dominant coral genera with low-profile foliose-laminar growth forms which resulted in flatter, less structurally complex reefs. And while generalist coral taxa remain highly competitive within Singapore’s reef environment, they may not have the capacity to maintain structural complexity or ensure the persistence of other reef functions, even within communities with high coral cover. The widespread loss of structurally complexity on Singapore’s degraded coral reefs may further impair ecosystem functioning, potentially compromising the long-term stability of reef biodiversity and productivity."
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,0512e1b94d33affedfe260d1a009aae94625f3e8,247644503,A community and functional comparison of coral and reef fish assemblages between four decades of coastal urbanisation and thermal stress,Katie M. Cook; H. Yamagiwa; M. Beger; G. Masucci; Stuart Ross; Hui Yian Theodora Lee; R. Stuart‐Smith; J. Reimer,2022,2022-03-01,Ecology and Evolution,JournalArticle,10.1002/ece3.8736,,35356574,https://www.semanticscholar.org/paper/0512e1b94d33affedfe260d1a009aae94625f3e8,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.8736,20,62,0,Medicine,Medicine; Environmental Science,"Abstract Urbanized coral reefs experience anthropogenic disturbances caused by coastal development, pollution, and nutrient runoff, resulting in turbid, marginal conditions in which only certain species can persist. Mortality effects are exacerbated by increasingly regular thermal stress events, leading to shifts towards novel communities dominated by habitat generalists and species with low structural complexity. There is limited data on the turnover processes that occur due to this convergence of anthropogenic stressors, and how novel urban ecosystems are structured both at the community and functional levels. As such, it is unclear how they will respond to future disturbance events. Here, we examine the patterns of coral reef community change and determine whether ecosystem functions provided by specialist species are lost post‐disturbance. We present a comparison of community and functional trait‐based changes for scleractinian coral genera and reef fish species assemblages subject to coastal development, coastal modification, and mass bleaching between two time periods, 1975–1976 and 2018, in Nakagusuku Bay, Okinawa, Japan. We observed an increase in fish habitat generalists, a dominance shift from branching to massive/sub‐massive corals and increasing site‐based coral genera richness between years. Fish and coral communities significantly reassembled, but functional trait‐based multivariate space remained constant, indicating a turnover of species with similar traits. A compression of coral habitat occurred, with shallow (<5 m) and deep (>8 m) coral genera shifting towards the mid‐depths (5–8 m). We show that although reef species assemblages altered post disturbance, new communities retained similar ecosystem functions. This result could be linked to the stressors experienced by urban reefs, which reflect those that will occur at an increasing frequency globally in the near future. Yet, even after shifts to disturbed communities, these fully functioning reef systems may maintain high conservation value."
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,053869f97df301d886f8c4e21dedf33d1f1bddfe,265104795,Transcriptomic signatures across a critical sedimentation threshold in a major reef-building coral,Colin Lock; Melissa M. Gabriel; B. Bentlage,2023,2023-11-08,bioRxiv,,10.1101/2023.11.06.565897,,,https://www.semanticscholar.org/paper/053869f97df301d886f8c4e21dedf33d1f1bddfe,True,https://www.biorxiv.org/content/biorxiv/early/2023/11/08/2023.11.06.565897.full.pdf,2,24,0,Biology,Biology; Biology; Environmental Science,"Sedimentation is a major cause of global near-shore coral reef decline. While negative impacts of sedimentation on coral reef community composition have been well documented, the effects of sedimentation on coral metabolism in situ have received comparatively little attention. Using transcriptomics, we identified gene expression patterns changing across a previously defined sedimentation threshold that was deemed critical due to changes in coral cover and community composition. We identified genes, pathways, and molecular processes associated with this transition that may allow corals, such as Porites lobata, to tolerate chronic, severe sedimentation and persist in turbid environments. Alternative energy generation pathways may help Porites lobata maintain a persistent stress response to survive while light and oxygen availability are diminished. We found evidence for the expression of genes linked to increased environmental sensing and cellular communication that likely allow Porites lobata to efficiently respond to sedimentation stress and associated pathogen challenges. Cell damage increases under stress; consequently, we found apoptosis pathways over-represented under severe sedimentation, a likely consequence of damaged cell removal to maintain colony integrity. The results presented here provide a framework for the response of Porites lobata to sedimentation stress under field conditions. Testing this framework and its related hypotheses using multi-omics approaches can further our understanding of metabolic plasticity and acclimation potential of corals to sedimentation and their resilience in turbid reef systems."
